pair_id,repo,snapshot_tag,snapshot_commit,snapshot_date,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,ground_truth_aliases,event_published,event_date_source,fixed_commit,case_file,control_file,case_file_path,case_suffix,case_size_bytes,case_loc,case_ci_gzip,case_shannon_entropy,case_cyclomatic_density,case_halstead_volume,case_composite_score,case_directory_depth,case_prior_touches_total,case_prior_touches_365d,case_total_churn,case_churn_365d,case_author_count_total,case_author_count_365d,case_file_age_days,case_latest_touch_days,control_file_path,control_suffix,control_size_bytes,control_loc,control_ci_gzip,control_shannon_entropy,control_cyclomatic_density,control_halstead_volume,control_composite_score,control_directory_depth,control_prior_touches_total,control_prior_touches_365d,control_total_churn,control_churn_365d,control_author_count_total,control_author_count_365d,control_file_age_days,control_latest_touch_days,delta_composite,delta_ci_gzip,delta_entropy,delta_cc_density,delta_halstead,delta_log_prior_touches_365d,delta_log_churn_365d
10,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2016-0754,curl:curl-7_37_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,3017d8a8d8849ebd4feae4f5eae037cd55736a61,src/tool_doswin.h,lib/netrc.h,src/tool_doswin.h,.h,1564.0,34.0,0.45971867007672634,0.6656789429549794,0.17647058823529413,0.0,0.3780778772562214,1,21,2,152,7,3,1,4879.9863888888885,86.22891203703703,lib/netrc.h,.h,1568.0,31.0,0.44642857142857145,0.6737462600597899,0.03225806451612903,0.0,0.33989393828683684,1,18,1,234,16,5,1,5256.3071875,273.5181597222222,0.038183938969384545,0.013290098648154891,-0.008067317104810456,0.1442125237191651,0.0,0.4054651081081645,-0.7537718023763804
11,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2016-0754,curl:curl-7_37_0:CVE-2016-0754,expanded_advisory_plus_explicit,explicit_id,CVE-2016-0754,2016-01-26T22:42:55+00:00,fixed_commit_epoch,3017d8a8d8849ebd4feae4f5eae037cd55736a61,src/tool_operate.c,lib/pop3.c,src/tool_operate.c,.c,63110.0,1419.0,0.2638567580415148,0.6843843582135358,0.08738548273431994,0.029001884693261815,0.2849563461734045,1,132,69,3490,1066,15,11,958.9852893518519,10.556921296296297,lib/pop3.c,.c,62437.0,1612.0,0.19373128113138044,0.6433239513712706,0.1674937965260546,0.05235619560570122,0.27497800181176707,1,206,39,5949,1125,12,4,1619.992199074074,27.04636574074074,0.009978344361637415,0.07012547691013438,0.041060406842265196,-0.08010831379173465,-0.023354310912439405,0.5596157879354231,-0.053820557397882496
12,curl,curl-7_37_0,3fed9acaef45ac8b99ceecc38afbed3494e2d3ef,2014-05-20T21:42:47+00:00,curl:curl-7_37_0,CVE-2016-3739,curl:curl-7_37_0:CVE-2016-3739,expanded_advisory_plus_explicit,explicit_id+osv_range,CURL-CVE-2016-3739;CVE-2016-3739,2016-05-18T08:00:00+00:00,osv_published,6efd2fa529a189bf41736a610f6184cd8ad94b4d,lib/vtls/polarssl.c,lib/vtls/vtls.c,lib/vtls/polarssl.c,.c,18837.0,512.0,0.2578966926793014,0.7377779006560983,0.146484375,0.0,0.3093413028419324,2,42,9,1285,123,12,5,1476.050011574074,59.24106481481481,lib/vtls/vtls.c,.c,19190.0,530.0,0.29906201146430433,0.7443519468719589,0.1320754716981132,0.0,0.32124338408493597,2,92,9,2037,236,20,3,3330.260810185185,151.22922453703703,-0.01190208124300357,-0.04116531878500296,-0.006574046215860663,0.014408903301886794,0.0,0.0,-0.6477785755300944
13,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-2398,curl:curl-8_6_0:CVE-2024-2398,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2024-2398;CVE-2024-2398,2024-03-27T08:00:00+00:00,osv_published,deca8039991886a559b67bcd6701db800a5cf764,lib/http2.c,src/tool_operate.c,lib/http2.c,.c,89819.0,2405.0,0.23325799663768246,0.6787918454622008,0.16673596673596675,0.12784494582204822,0.3069799792093958,1,459,76,15071,5213,52,14,8422.376030092593,23.727395833333333,src/tool_operate.c,.c,94018.0,2245.0,0.2495692314237699,0.6557384193827707,0.26948775055679286,0.19395792143146923,0.34209965705059364,1,461,46,10595,1296,78,12,4501.374930555556,14.87962962962963,-0.03511967784119785,-0.016311234786087453,0.023053426079430173,-0.10275178382082611,-0.066112975609421,0.4936578201436257,1.3912934101770036
14,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-2004,curl:curl-8_6_0:CVE-2024-2004,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2024-2004;CVE-2024-2004,2024-03-27T08:00:00+00:00,osv_published,17d302e56221f5040092db77d4f85086e8a20e0e,lib/setopt.c,src/tool_getparam.c,lib/setopt.c,.c,95137.0,2651.0,0.20163553612159307,0.6503987576741508,0.22180309317238778,0.1936637939002571,0.31349813838681867,1,200,32,5077,366,50,7,2272.3718981481484,21.944872685185185,src/tool_getparam.c,.c,94028.0,2623.0,0.241140936742247,0.645086657354915,0.2344643537933664,0.17548875021634683,0.32326010035873054,1,311,38,11378,6028,73,8,4501.374930555556,14.063472222222222,-0.00976196197191187,-0.03950540062065391,0.005312100319235791,-0.01266126062097861,0.018175043683910264,-0.16705408466316607,-2.7989745904348355
15,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-2379,curl:curl-8_6_0:CVE-2024-2379,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2024-2379;CVE-2024-2379,2024-03-27T08:00:00+00:00,osv_published,aedbbdf18e689a5eee8dc39600914f5eda6c409c,lib/vquic/vquic-tls.c,lib/vquic/vquic.c,lib/vquic/vquic-tls.c,.c,18742.0,519.0,0.24949311706328034,0.7382611263955181,0.16570327552986513,0.0,0.31116610848476056,2,2,2,609,609,1,1,19.88949074074074,8.658414351851851,lib/vquic/vquic.c,.c,20289.0,612.0,0.24170732909458328,0.7418457449049137,0.16993464052287582,0.00821490413538708,0.3118313152522649,2,28,20,923,771,7,5,1363.691701388889,8.658414351851851,-0.0006652067675043116,0.0077857879686970555,-0.0035846185093956207,-0.004231364993010689,-0.00821490413538708,-1.9459101490553132,-0.23552559285741914
16,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-2466,curl:curl-8_6_0:CVE-2024-2466,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2024-2466;CVE-2024-2466,2024-03-27T08:00:00+00:00,osv_published,3d0fd382a29b95561b90b7ea3e7eb04dfdd43538,lib/vtls/mbedtls.c,lib/vtls/bearssl.c,lib/vtls/mbedtls.c,.c,40141.0,1067.0,0.22625246007822425,0.7095850775289634,0.1583880037488285,0.07780771295353581,0.30522247680450937,2,162,12,3475,151,45,4,3025.0461574074075,12.99607638888889,lib/vtls/bearssl.c,.c,39470.0,1040.0,0.2240435774005574,0.7040917037041693,0.16153846153846155,0.07780771295353581,0.3032425357674116,2,51,10,2344,276,15,4,1526.9801967592593,50.35752314814815,0.0019799410370977544,0.0022088826776668624,0.00549337382479409,-0.003150457789633049,0.0,0.16705408466316607,-0.6001369853410621
17,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-6874,curl:curl-8_6_0:CVE-2024-6874,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2024-6874;CVE-2024-6874,2024-07-24T08:00:00+00:00,osv_published,686d54baf1df6e0775898f484d1670742898b3b2,lib/idn.c,lib/splay.c,lib/idn.c,.c,7589.0,244.0,0.31861905389379364,0.7589385298370156,0.13934426229508196,0.0,0.3355493074238093,1,9,6,379,154,3,3,411.3797916666667,69.63989583333333,lib/splay.c,.c,7605.0,218.0,0.3222879684418146,0.752435338356649,0.11926605504587157,0.0,0.3294988745395409,1,44,0,1236,0,12,0,6504.668738425926,392.9475810185185,0.006050432884268375,-0.003668914548020985,0.006503191480366599,0.02007820724921039,0.0,1.9459101490553132,5.043425116919247
18,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-6197,curl:curl-8_6_0:CVE-2024-6197,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2024-6197;CVE-2024-6197,2024-07-24T08:00:00+00:00,osv_published,3a537a4db9e65e545ec45b1b5d5575ee09a2569d,lib/vtls/x509asn1.c,lib/vssh/wolfssh.c,lib/vtls/x509asn1.c,.c,34295.0,1025.0,0.23802303542790496,0.6994312187660403,0.2302439024390244,0.004984854945056227,0.31360000224959017,2,84,13,3769,1014,20,3,3851.6164236111113,3.8168634259259258,lib/vssh/wolfssh.c,.c,34443.0,991.0,0.2169671631390994,0.706841658471559,0.136226034308779,0.02854022188622487,0.2885713622982623,2,35,11,1581,42,8,5,1479.6143518518518,5.395868055555556,0.02502863995132787,0.021055872288805566,-0.00741043970551869,0.0940178681302454,-0.02355536694116864,0.15415067982725805,3.1614437757823253
19,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-7264,curl:curl-8_6_0:CVE-2024-7264,expanded_advisory_plus_explicit,osv_range+osv_ref,CURL-CVE-2024-7264;CVE-2024-7264,2024-07-31T08:00:00+00:00,osv_published,27959ecce75cdb2809c0bdb3286e60e08fadb519,lib/vtls/x509asn1.h,include/curl/header.h,lib/vtls/x509asn1.h,.h,2903.0,66.0,0.35549431622459526,0.7064675819745367,0.07575757575757576,0.0,0.3230738000542246,2,23,2,360,11,8,1,3851.6164236111113,176.50421296296295,include/curl/header.h,.h,2910.0,64.0,0.3958762886597938,0.7078343698257997,0.015625,0.0,0.3221076832353732,2,5,0,78,0,4,0,679.9857638888889,392.9475810185185,0.0009661168188513924,-0.04038197243519853,-0.001366787851262985,0.06013257575757576,0.0,1.0986122886681098,2.4849066497880004
20,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-8096,curl:curl-8_6_0:CVE-2024-8096,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2024-8096;CVE-2024-8096,2024-09-11T08:00:00+00:00,osv_published,aeb1a281cab13c7ba791cb104e556b20e713941f,lib/vtls/gtls.c,lib/vquic/curl_quiche.c,lib/vtls/gtls.c,.c,51656.0,1375.0,0.24388260802230138,0.7124390526718841,0.1658181818181818,0.09801395776391572,0.3160206999485565,2,304,10,6957,252,54,4,6872.6504513888885,45.41494212962963,lib/vquic/curl_quiche.c,.c,47188.0,1387.0,0.24468085106382978,0.6844078444364763,0.17231434751261715,0.09068905956085178,0.3102674479346531,2,137,51,7288,3619,23,10,1654.385289351852,19.88949074074074,0.0057532520139034204,-0.0007982430415283959,0.028031208235407834,-0.006496165694435341,0.007324898203063937,-1.5533484457830569,-2.660839816092297
21,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-9681,curl:curl-8_6_0:CVE-2024-9681,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2024-9681;CVE-2024-9681,2024-11-05T08:00:00+00:00,osv_published,a94973805df96269bf3f3bf0a20ccb9887313316,lib/hsts.c,lib/cf-https-connect.c,lib/hsts.c,.c,15056.0,495.0,0.3168836344314559,0.7440066686653387,0.10707070707070707,0.0,0.3211834866899449,1,34,10,811,81,8,4,1183.663310185185,20.753912037037036,lib/cf-https-connect.c,.c,15227.0,460.0,0.24876863466211335,0.728646184763452,0.16304347826086957,0.0,0.3084207629901602,1,12,12,715,715,6,6,362.92104166666667,45.743923611111114,0.012762723699784706,0.06811499976934254,0.015360483901886712,-0.0559727711901625,0.0,-0.16705408466316607,-2.1669609196963924
22,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-11053,curl:curl-8_6_0:CVE-2024-11053,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2024-11053;CVE-2024-11053,2024-12-11T08:00:00+00:00,osv_published,e9b9bbac22c26cf67316fa8e6c6b9e831af31949,lib/netrc.c,lib/http1.c,lib/netrc.c,.c,9703.0,309.0,0.30124703699886635,0.75299404963647,0.042071197411003236,0.0,0.3027118268946451,1,104,2,1467,4,18,2,8798.696828703703,69.63989583333333,lib/http1.c,.c,9582.0,286.0,0.3090169067000626,0.7528612793141093,0.17482517482517482,0.0,0.33900607746023675,1,5,5,506,506,3,3,288.65003472222224,127.53581018518518,-0.03629425056559166,-0.0077698697011962525,0.00013277032236069797,-0.13275397741417158,0.0,-0.6931471805599452,-4.619073091157083
23,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2024-11053,curl:curl-8_6_0:CVE-2024-11053,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2024-11053;CVE-2024-11053,2024-12-11T08:00:00+00:00,osv_published,e9b9bbac22c26cf67316fa8e6c6b9e831af31949,lib/url.c,lib/multi.c,lib/url.c,.c,122654.0,3283.0,0.2560210021687022,0.6407273799011234,0.08924763935424916,0.1584962500721156,0.29002194950610855,1,1764,58,48578,1781,147,11,8798.696828703703,14.885601851851852,lib/multi.c,.c,118290.0,2993.0,0.2546960858906078,0.6885303846269224,0.19044437019712662,0.15736471874933217,0.3265408331853605,1,738,50,19785,1170,83,6,8098.829560185185,17.611226851851853,-0.036518883679251934,0.0013249162780943902,-0.047803004725799014,-0.10119673084287746,0.00113153132278343,0.14571181118139398,0.4198782444330371
24,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2025-0665,curl:curl-8_6_0:CVE-2025-0665,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2025-0665;CVE-2025-0665,2025-02-05T08:00:00+00:00,osv_published,ff5091aa9f73802e894b1cbdf24ab84e103200e2,lib/asyn-thread.c,src/tool_listhelp.c,lib/asyn-thread.c,.c,25615.0,789.0,0.2721842670310365,0.7153117846808379,0.11406844106463879,0.016992500144231214,0.3024347603993794,1,188,7,4237,329,33,5,7218.988668981481,28.967430555555556,src/tool_listhelp.c,.c,26084.0,807.0,0.25007667535654043,0.6787199169212721,0.0024783147459727386,0.0,0.255218793207922,1,194,11,2911,64,58,5,4501.374930555556,5.756550925925926,0.047215967191457375,0.022107591674496052,0.0365918677595658,0.11159012631866605,0.016992500144231214,-0.4054651081081646,1.6247053845648889
25,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2025-0725,curl:curl-8_6_0:CVE-2025-0725,expanded_advisory_plus_explicit,nvd_ref+osv_range+osv_ref,CURL-CVE-2025-0725;CVE-2025-0725,2025-02-05T08:00:00+00:00,nvd_published+osv_published,76f83f0db23846e254d940ec7,lib/content_encoding.c,lib/asyn-ares.c,lib/content_encoding.c,.c,29514.0,822.0,0.2597072575726774,0.7277664974968069,0.20072992700729927,0.019475685442224843,0.32323129165451947,1,94,8,3016,512,19,5,7820.3559490740745,17.611226851851853,lib/asyn-ares.c,.c,29833.0,774.0,0.31565715818053836,0.7450658824999133,0.1343669250645995,0.02288186904958813,0.3302548058722941,1,177,9,3188,323,30,5,7218.988668981481,14.887430555555556,-0.00702351421777464,-0.05594990060786098,-0.01729938500310646,0.06636300194269978,-0.0034061836073632883,-0.10536051565782634,0.45953232937844035
26,curl,curl-8_6_0,5ce164e0e9290c96eb7d502173426c0a135ec008,2024-01-31T07:03:52+00:00,curl:curl-8_6_0,CVE-2025-5025,curl:curl-8_6_0:CVE-2025-5025,expanded_advisory_plus_explicit,osv_range,CURL-CVE-2025-5025;CVE-2025-5025,2025-05-28T07:15:24+00:00,osv_published,e1f65937a96a451292e9231339672797da86ecc5,lib/vtls/wolfssl.c,lib/vtls/vtls.c,lib/vtls/wolfssl.c,.c,43675.0,1192.0,0.254745277618775,0.7157581614071646,0.174496644295302,0.08486229404293386,0.32154757710999987,2,197,24,4138,605,44,10,4711.78974537037,24.860891203703705,lib/vtls/vtls.c,.c,59741.0,1807.0,0.23931638238395742,0.6906290125240748,0.06585500830105147,0.012928301694496724,0.2710460781723011,2,294,38,7089,1182,54,7,6872.6504513888885,4.678900462962963,0.050501498937698786,0.015428895234817608,0.025129148883089814,0.10864163599425054,0.07193399234843713,-0.44468582126144574,-0.6689288779090727
