repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,severity_band,severity_score,severity_label,severity_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-7468,curl:curl-7_50_0:CVE-2017-7468,2017-04-19T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2017-7468;CVE-2017-7468,33cfcfd9f0378625d3bddbd2c8ac5aad4b646f26,TLS: Fix switching off SSL session id when client cert is used,lib/vtls/polarssl.c,lib/vauth/spnego_sspi.c,12,lib/url.c;lib/urldata.h;lib/vtls/axtls.c;lib/vtls/cyassl.c;lib/vtls/darwinssl.c;lib/vtls/gtls.c;lib/vtls/mbedtls.c;lib/vtls/nss.c;lib/vtls/openssl.c;lib/vtls/polarssl.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-1000100,curl:curl-7_50_0:CVE-2017-1000100,2017-08-09T08:00:00+00:00,osv_published,high_critical,6.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000100;CVE-2017-1000100,358b2b131ad6c095696f20dcfa62b8305263f898,tftp: reject file name lengths that don't fit,lib/tftp.c,lib/pop3.c,1,lib/tftp.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-1000254,curl:curl-7_50_0:CVE-2017-1000254,2017-10-04T08:00:00+00:00,osv_published,high_critical,7.5,HIGH,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000254;CVE-2017-1000254,5ff2c5ff25750aba1a8f64fbcad8e5b891512584,FTP: zero terminate the entry path even on bad input,lib/ftp.c,src/tool_operate.c,1,lib/ftp.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-1000257,curl:curl-7_50_0:CVE-2017-1000257,2017-10-12T08:00:00+00:00,osv_published,high_critical,9.1,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2017-1000257;CVE-2017-1000257,13c9a9ded3ae744a1e11cbc14e9146d9fa427040,"imap: if a FETCH response has no size, don't call write callback",lib/imap.c,src/tool_getparam.c,1,lib/imap.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-8817,curl:curl-7_50_0:CVE-2017-8817,2017-11-29T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2017-8817;CVE-2017-8817,0b664ba968437715819bfe4c7ada5679d16ebbc3,wildcardmatch: fix heap buffer overflow in setcharset,lib/curl_fnmatch.c,src/tool_formparse.c,1,lib/curl_fnmatch.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-8816,curl:curl-7_50_0:CVE-2017-8816,2017-11-29T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2017-8816;CVE-2017-8816,7f2a1df6f5fc598750b2c6f34465c8d924db28cc,ntlm: avoid integer overflow for malloc size,lib/curl_ntlm_core.c,lib/http_proxy.c,1,lib/curl_ntlm_core.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2018-1000005,curl:curl-7_50_0:CVE-2018-1000005,2018-01-24T08:00:00+00:00,osv_published,high_critical,9.1,CRITICAL,osv_severity,osv_range,CURL-CVE-2018-1000005;CVE-2018-1000005,fa3dbb9a147488a2943bda809c66fc497efe06cb,http2: fix incorrect trailer buffer size,lib/http2.c,lib/transfer.c,1,lib/http2.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2018-1000300,curl:curl-7_50_0:CVE-2018-1000300,2018-05-16T08:00:00+00:00,osv_published,high_critical,9.8,CRITICAL,osv_severity,explicit_id+osv_range,CURL-CVE-2018-1000300;CVE-2018-1000300,583b42cb3b809b1bf597af160468ccba728c2248,pingpong: fix response cache memcpy overflow,lib/pingpong.c,src/tool_paramhlp.c,1,lib/pingpong.c,,
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2018-0500,curl:curl-7_50_0:CVE-2018-0500,2018-07-11T08:00:00+00:00,nvd_published+osv_published,high_critical,9.8,CRITICAL,nvd_metrics+osv_severity,explicit_id+nvd_ref+osv_range+osv_ref,CURL-CVE-2018-0500;CVE-2018-0500,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628,smtp: use the upload buffer size for scratch buffer malloc,lib/smtp.c,lib/formdata.c,1,lib/smtp.c,,
curl,curl-7_61_1,2018-09-04T21:49:50+00:00,CVE-2018-16840,curl:curl-7_61_1:CVE-2018-16840,2018-10-31T08:00:00+00:00,nvd_published+osv_published,high_critical,9.8,CRITICAL,nvd_metrics+osv_severity,explicit_id+nvd_ref+osv_range+osv_ref,CURL-CVE-2018-16840;CVE-2018-16840,81d135d67155c5295b1033679c606165d4e28f3f,Curl_close: clear data->multi_easy on free to avoid use-after-free,lib/url.c,lib/ftp.c,1,lib/url.c,,
