repo,commit,cve_ids,n_pairs,event_id,ground_truth_policy,mean_delta_composite,median_delta_composite,positive_share
openssl,feba02f3919495e1b960c33ba849e10e77d0785d,CVE-2014-3571,2,CVE-2014-3571,strict_nvd_event,0.03289498530779228,0.03289498530779228,1.0
openssl,898fb884b706aaeb283de4812340bb0bde8476dc,CVE-2017-3737,1,CVE-2017-3737,strict_nvd_event,0.029310859238194764,0.029310859238194764,1.0
openssl,470990fee0182566d439ef7e82d1abf18b7085d7,CVE-2014-8176,1,CVE-2014-8176,strict_nvd_event,0.02623291973099051,0.02623291973099051,1.0
openssl,0ed26acce328ec16a3aa635f1ca37365e8c7403a,CVE-2016-2180,1,CVE-2016-2180,strict_nvd_event,0.02224084676520721,0.02224084676520721,1.0
openssl,00d965474b22b54e4275232bc71ee0c699c5cd21,CVE-2017-3731,2,CVE-2017-3731,strict_nvd_event,0.02181542184507687,0.02181542184507687,0.5
openssl,ce325c60c74b0fa784f5872404b722e120e5cab0,CVE-2015-0204,4,CVE-2015-0204,strict_nvd_event,0.018074906292021325,0.021535098828013688,0.5
openssl,ef2fb66ec571564d64d1c74a12e388a2a54d05d2,CVE-2026-22795,3,CVE-2026-22795,strict_nvd_event,0.013763559706103157,-0.0035920330052812144,0.3333333333333333
openssl,ef2fb66ec571564d64d1c74a12e388a2a54d05d2,CVE-2026-22796,3,CVE-2026-22796,strict_nvd_event,0.013763559706103157,-0.0035920330052812144,0.3333333333333333
openssl,7725e7bfe6f2ce8146b6552b44e0d226be7638e7,CVE-2022-3996,1,CVE-2022-3996,strict_nvd_event,0.007587515617594853,0.007587515617594853,1.0
openssl,1421e0c584ae9120ca1b88098f13d6d2e90b83a3,CVE-2015-0205,1,CVE-2015-0205,strict_nvd_event,0.007407271400490911,0.007407271400490911,1.0
openssl,98ece4eebfb6cd45cc8d550c6ac0022965071afc,CVE-2015-1791,5,CVE-2015-1791,strict_nvd_event,0.006111413311901065,0.016694446800369356,0.6
openssl,a2dbc539f0f9cc63832709fa5aa33ad9495eb19c,CVE-2025-69421,1,CVE-2025-69421,strict_nvd_event,0.006071376795680594,0.006071376795680594,1.0
openssl,7dfcee2cd2a63b2c64b9b4b0850be64cb695b0a0,CVE-2024-6119,1,CVE-2024-6119,strict_nvd_event,0.005279723275613546,0.005279723275613546,1.0
openssl,4c96fbba618e1940f038012506ee9e21d32ee12c,CVE-2025-68160,1,CVE-2025-68160,strict_nvd_event,-0.0015426075038013631,-0.0015426075038013631,0.0
openssl,6184a4fb08ee6d7bca570d931a4e8bef40b64451,CVE-2025-66199,1,CVE-2025-66199,strict_nvd_event,-0.0033080047773471066,-0.0033080047773471066,0.0
openssl,310f305eb92ea8040d6b3cb75a5feeba8e6acf2f,CVE-2025-15469,4,CVE-2025-15469,strict_nvd_event,-0.005572021186497633,-0.002316948438552402,0.5
openssl,8caf359d6e46fb413e8f5f0df765d2e8a51df4e8,CVE-2025-11187,1,CVE-2025-11187,strict_nvd_event,-0.008695517444538114,-0.008695517444538114,0.0
openssl,59302b600e8d5b77ef144e447bb046fd7ab72686,CVE-2015-1790,1,CVE-2015-1790,strict_nvd_event,-0.01090921602346634,-0.01090921602346634,0.0
openssl,b2539639400288a4580fe2d76247541b976bade4,CVE-2025-15468,1,CVE-2025-15468,strict_nvd_event,-0.018121076948956705,-0.018121076948956705,0.0
openssl,775acfdbd0c6af9ac855f34969cdab0c0c90844a,CVE-2024-0727,4,CVE-2024-0727,strict_nvd_event,-0.020662393465197895,-0.024239944034009475,0.25
openssl,ed40856d7d4ba6cb42779b6770666a65f19cb977,CVE-2025-69418,1,CVE-2025-69418,strict_nvd_event,-0.021507481051820265,-0.021507481051820265,0.0
openssl,cd30f03ac5bf2962f44bd02ae8d88245dff2f12c,CVE-2015-1792,1,CVE-2015-1792,strict_nvd_event,-0.022830660997173735,-0.022830660997173735,0.0
openssl,efbe126e3ebb9123ac9d058aa2bb044261342aaa,CVE-2017-3730,1,CVE-2017-3730,strict_nvd_event,-0.0232917423974372,-0.0232917423974372,0.0
openssl,2c8f0e5fa9b6ee5508a0349e4572ddb74db5a703,CVE-2025-15467,1,CVE-2025-15467,strict_nvd_event,-0.023881169729000562,-0.023881169729000562,0.0
openssl,684400ce192dac51df3d3e92b61830a6ef90be3e,CVE-2014-8275,4,CVE-2014-8275,strict_nvd_event,-0.02924209493759007,-0.028251961082711774,0.25
openssl,a7a44ba55cb4f884c6bc9ceac90072dea38e66d0,CVE-2014-3570,3,CVE-2014-3570,strict_nvd_event,-0.06593948545938583,-0.07263711547318424,0.0
php-src,2721a0148649e07ed74468f097a28899741eb58f,CVE-2016-5114,1,CVE-2016-5114,strict_nvd_event,0.09915041316108697,0.09915041316108697,1.0
php-src,35ceea928b12373a3b1e3eecdc32ed323223a40d,CVE-2014-0185,1,CVE-2014-0185,strict_nvd_event,0.0833911191740816,0.0833911191740816,1.0
php-src,c4cca4c20e75359c9a13a1f9a36cb7b4e9601d29,CVE-2016-7418,1,CVE-2016-7418,strict_nvd_event,0.06577700125351427,0.06577700125351427,1.0
php-src,b88393f08a558eec14964a55d3c680fe67407712,CVE-2016-7413,1,CVE-2016-7413,strict_nvd_event,0.06557048338649124,0.06557048338649124,1.0
php-src,b28b8b2fee6dfa6fcd13305c581bb835689ac3be,CVE-2016-10160,1,CVE-2016-10160,strict_nvd_event,0.05745109870202458,0.05745109870202458,1.0
php-src,ca46d0acbce55019b970fcd4c1e8a10edfdded93,CVE-2016-10159,1,CVE-2016-10159,strict_nvd_event,0.05742990917365842,0.05742990917365842,1.0
php-src,b101a6bbd4f2181c360bd38e7683df4a03cba83e,CVE-2015-8617,1,CVE-2015-8617,strict_nvd_event,0.05492217458816068,0.05492217458816068,1.0
php-src,a15bffd105ac28fd0dd9b596632dbf035238fda3,CVE-2017-11142,1,CVE-2017-11142,strict_nvd_event,0.042290503421040126,0.042290503421040126,1.0
php-src,23b057742e3cf199612fa8050ae86cae675e214e,CVE-2018-17082,1,CVE-2018-17082,strict_nvd_event,0.0419502060110345,0.0419502060110345,1.0
php-src,0bfb970f43acd1e81d11be1154805f86655f15d5,CVE-2016-7414,2,CVE-2016-7414,strict_nvd_event,0.03972586916515293,0.03972586916515293,1.0
php-src,5b597a2e5b28e2d5a52fc1be13f425f08f47cb62,CVE-2016-5768,1,CVE-2016-5768,strict_nvd_event,0.03340711982888395,0.03340711982888395,1.0
php-src,c395c6e5d7e8df37a21265ff76e48fe75ceb5ae6,CVE-2016-5767,1,CVE-2016-5767,strict_nvd_event,0.031153838871283646,0.031153838871283646,1.0
php-src,69dee5c732fe982c82edb17d0dbc3e79a47748d8,CVE-2015-9253,2,CVE-2015-9253,strict_nvd_event,0.02877340126308084,0.02877340126308084,0.5
php-src,6dbb1ee46b5f4725cc6519abf91e512a2a10dfed,CVE-2016-7128,1,CVE-2016-7128,strict_nvd_event,0.028404982293931902,0.028404982293931902,1.0
php-src,1cda0d7c2ffb62d8331c64e703131d9cabdc03ea,CVE-2016-10158,1,CVE-2016-10158,strict_nvd_event,0.028236218484644027,0.028236218484644027,1.0
php-src,996faf964bba1aec06b153b370a7f20d3dd2bb8b,CVE-2015-8935,1,CVE-2015-8935,strict_nvd_event,0.02580742052257462,0.02580742052257462,1.0
php-src,b2af4e8868726a040234de113436c6e4f6372d17,CVE-2016-9936,1,CVE-2016-9936,strict_nvd_event,0.023942564267664723,0.023942564267664723,1.0
php-src,abd159cce48f3e34f08e4751c568e09677d5ec9c,CVE-2016-5096,1,CVE-2016-5096,strict_nvd_event,0.02365046982421659,0.02365046982421659,1.0
php-src,2871c70efaaaa0f102557a17c727fd4d5204dd4b,CVE-2016-1904,1,CVE-2016-1904,strict_nvd_event,0.023092257632458757,0.023092257632458757,1.0
php-src,426aeb2808955ee3d3f52e0cfb102834cdb836a5,CVE-2016-7129,1,CVE-2016-7129,strict_nvd_event,0.02230642390982973,0.02230642390982973,1.0
php-src,a44c89e8af7c2410f4bfc5e097be2a5d0639a60c,CVE-2016-5772,1,CVE-2016-5772,strict_nvd_event,0.021978177587875125,0.021978177587875125,1.0
php-src,7722455726bec8c53458a32851d2a87982cf0eac,CVE-2016-5766,1,CVE-2016-5766,strict_nvd_event,0.021571849758386996,0.021571849758386996,1.0
php-src,8d2539fa0faf3f63e1d1e7635347c5b9e777d47b,CVE-2016-10162,1,CVE-2016-10162,strict_nvd_event,0.01944253162103826,0.01944253162103826,1.0
php-src,8763c6090d627d8bb0ee1d030c30e58f406be9ce,CVE-2016-7125,1,CVE-2016-7125,strict_nvd_event,0.01824194444034527,0.01824194444034527,1.0
php-src,72dbb7f416160f490c4e9987040989a10ad431c7,CVE-2016-7134,1,CVE-2016-7134,strict_nvd_event,0.012615739266392756,0.012615739266392756,1.0
php-src,bab0b99f376dac9170ac81382a5ed526938d595a,CVE-2017-7189,1,CVE-2017-7189,strict_nvd_event,0.011507185816299503,0.011507185816299503,1.0
php-src,bab0b99f376dac9170ac81382a5ed526938d595a,CVE-2017-7272,1,CVE-2017-7272,strict_nvd_event,0.011507185816299503,0.011507185816299503,1.0
php-src,7245bff300d3fa8bacbef7897ff080a6f1c23eba,CVE-2016-5770,1,CVE-2016-5770,strict_nvd_event,0.008579344339767703,0.008579344339767703,1.0
php-src,3f627e580acfdaf0595ae3b115b8bec677f203ee,CVE-2016-5771,1,CVE-2016-5771,strict_nvd_event,0.005681399534519793,0.005681399534519793,1.0
php-src,6d55ba265637d6adf0ba7e9c9ef11187d1ec2f5b,CVE-2016-7416,1,CVE-2016-7416,strict_nvd_event,0.004522339073515347,0.004522339073515347,1.0
php-src,2fefae47716d501aec41c1102f3fd4531f070b05,CVE-2014-3597,1,CVE-2014-3597,strict_nvd_event,0.0038863367847585817,0.0038863367847585817,1.0
php-src,5c0455bf2c8cd3c25401407f158e820aa3b239e1,CVE-2017-16642,1,CVE-2017-16642,strict_nvd_event,0.003174049484982955,0.003174049484982955,1.0
php-src,97eff7eb57fc2320c267a949cffd622c38712484,CVE-2016-5093,1,CVE-2016-5093,strict_nvd_event,0.0017921392126066804,0.0017921392126066804,1.0
php-src,7a1aac3343af85b4af4df5f8844946eaa27394ab,CVE-2013-7456,1,CVE-2013-7456,strict_nvd_event,0.0007134192232058911,0.0007134192232058911,1.0
php-src,698a691724c0a949295991e5df091ce16f899e02,CVE-2016-7130,1,CVE-2016-7130,strict_nvd_event,-0.0019169244725897316,-0.0019169244725897316,0.0
php-src,20ce2fe8e3c211a42fee05a461a5881be9a8790e,CVE-2016-7124,1,CVE-2016-7124,strict_nvd_event,-0.0029238370681793358,-0.0029238370681793358,0.0
php-src,863d37ea66d5c960db08d6f4a2cbd2518f0f80d1,CVE-2016-9933,1,CVE-2016-9933,strict_nvd_event,-0.006350124186079831,-0.006350124186079831,0.0
php-src,66fd44209d5ffcb9b3d1bc1b9fd8e35b485040c0,CVE-2016-9935,1,CVE-2016-9935,strict_nvd_event,-0.006377043101455426,-0.006377043101455426,0.0
php-src,6045de69c7dedcba3eadf7c4bba424b19c81d00d,CVE-2016-9934,2,CVE-2016-9934,strict_nvd_event,-0.008789921612308405,-0.008789921612308405,0.0
php-src,f6aef68089221c5ea047d4a74224ee3deead99a6,CVE-2016-5773,1,CVE-2016-5773,strict_nvd_event,-0.009517886285000443,-0.009517886285000443,0.0
php-src,0c8a2a2cd1056b7dc403eacb5d2c0eec6ce47c6f,CVE-2016-7131,1,CVE-2016-7131,strict_nvd_event,-0.011112095135587807,-0.011112095135587807,0.0
php-src,0c8a2a2cd1056b7dc403eacb5d2c0eec6ce47c6f,CVE-2016-7132,1,CVE-2016-7132,strict_nvd_event,-0.011112095135587807,-0.011112095135587807,0.0
php-src,523f230c831d7b33353203fa34aee4e92ac12bba,CVE-2018-7584,1,CVE-2018-7584,strict_nvd_event,-0.011615249051665666,-0.011615249051665666,0.0
php-src,4cc0286f2f3780abc6084bcdae5dce595daa3c12,CVE-2017-5340,1,CVE-2017-5340,strict_nvd_event,-0.011622847584263962,-0.011622847584263962,0.0
php-src,c2a13ced4272f2e65d2773e2ea6ca11c1ce4a911,CVE-2016-7133,1,CVE-2016-7133,strict_nvd_event,-0.014004419272420077,-0.014004419272420077,0.0
php-src,7ba1409a1aee5925180de546057ddd84ff267947,CVE-2014-3587,1,CVE-2014-3587,strict_nvd_event,-0.014329547119191322,-0.014329547119191322,0.0
php-src,f151e048ed27f6f4eef729f3310d053ab5da71d4,CVE-2018-15132,1,CVE-2018-15132,strict_nvd_event,-0.015774674814354905,-0.015774674814354905,0.0
php-src,b585a3aed7880a5fa5c18e2b838fc96f40e075bd,CVE-2015-0231,1,CVE-2015-0231,strict_nvd_event,-0.01592836157947297,-0.01592836157947297,0.0
php-src,28f80baf3c53e267c9ce46a2a0fadbb981585132,CVE-2016-7412,1,CVE-2016-7412,strict_nvd_event,-0.018385167001547686,-0.018385167001547686,0.0
php-src,6c5211a0cef0cc2854eaa387e0eb036e012904d0,CVE-2016-5769,1,CVE-2016-5769,strict_nvd_event,-0.018516211941071115,-0.018516211941071115,0.0
php-src,61cdd1255d5b9c8453be71aacbbf682796ac77d4,CVE-2016-7480,1,CVE-2016-7480,strict_nvd_event,-0.022073978997301014,-0.022073978997301014,0.0
php-src,3b8d4de300854b3517c7acb239b84f7726c1353c,CVE-2016-3078,1,CVE-2016-3078,strict_nvd_event,-0.027748905219588116,-0.027748905219588116,0.0
php-src,1bd103df00f49cf4d4ade2cfe3f456ac058a4eae,CVE-2016-7127,1,CVE-2016-7127,strict_nvd_event,-0.02825514711125815,-0.02825514711125815,0.0
