pair_id,repo,security_event_id,label,kind,log_loc,log_size_bytes,directory_depth,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d,file_age_days,cyclomatic_density,halstead_volume,composite_score
20,libxml2,CVE-2008-4226,0,bugfix,9.109635667854551,12.497693201961823,0.0,6.20455776256869,3.5263605246161616,10.604652504689657,6.295266001439646,8954.525659722221,0.2545072447738082,0.1357552004618084,0.29639238809490803
21,libxml2,CVE-2009-2414,1,security,9.482121694896287,12.906600025299502,0.0,6.249975242259483,3.1354942159291497,11.129935879377234,7.669495251007694,4015.464988425926,0.2126962353299802,0.2112439506781552,0.29332902343240375
21,libxml2,CVE-2009-2414,0,bugfix,9.483340185641822,12.927180264249456,0.0,6.240275845170769,3.7376696182833684,10.851741959615676,6.306275286948016,8638.297800925926,0.21061044298980058,0.21636496760158241,0.2926126482976609
22,libxml2,CVE-2009-2416,1,security,9.482121694896287,12.906600025299502,0.0,6.249975242259483,3.1354942159291497,11.129935879377234,7.669495251007694,4015.464988425926,0.2126962353299802,0.2112439506781552,0.29332902343240375
22,libxml2,CVE-2009-2416,0,bugfix,9.401869409521051,12.845950897210779,0.0,6.259581464064923,3.6109179126442243,10.90749607849526,8.09437844497296,8915.996273148148,0.21742361684558217,0.2005624549193879,0.2927680483347881
23,libxml2,CVE-2014-0191,1,security,9.543664802306665,12.981919002224865,0.0,6.396929655216146,1.9459101490553132,11.160669315193207,3.6888794541139363,5781.222731481482,0.217484772482981,0.2184875342908283,0.2942781448101354
23,libxml2,CVE-2014-0191,0,bugfix,9.541728276688032,12.995372832434532,0.0,6.642486801367256,3.7376696182833684,11.213643034452126,6.579251212010101,8847.479918981482,0.21453187823090178,0.21947568544222484,0.29472082324127485
24,libxml2,CVE-2014-3660,1,security,9.547241088215463,12.985071781209898,0.0,6.411818267709897,2.772588722239781,11.161692827635783,4.718498871295094,5908.097129629629,0.2174223491610139,0.2184875342908283,0.2941379008325233
24,libxml2,CVE-2014-3660,0,bugfix,9.524347869595513,12.985686471407055,0.0,6.70073110954781,4.477336814478207,11.243672527986815,7.9996785794994505,8900.435370370371,0.2087229690239626,0.2197216693110052,0.29338065385591416
25,libxml2,CVE-2015-1819,1,security,7.04141166379481,10.399250298625073,0.0,2.3978952727983707,0.6931471805599453,7.246368080102461,1.6094379124341003,995.1370601851852,0.1646234676007005,0.0,0.2870338086012455
25,libxml2,CVE-2015-1819,0,bugfix,6.877296071497429,10.244058520726302,0.0,3.4965075614664802,2.6390573296152584,7.5310163320779155,5.955837369464831,3837.1720949074074,0.16408668730650156,0.0,0.2954532611404318
26,libxml2,CVE-2015-1819,1,security,7.045776576879511,10.546262067431401,2.0,5.147494476813453,1.0986122886681098,8.566935283311052,4.3694478524670215,6088.2513078703705,0.036617262423714034,0.07004397181410926,0.2609334635386723
26,libxml2,CVE-2015-1819,0,bugfix,6.883462586413092,10.579234218415905,2.0,4.976733742420574,2.772588722239781,8.097426298597213,5.996452088619021,9861.43837962963,0.0020512820512820513,0.1805743872151618,0.2152285282936202
27,libxml2,CVE-2015-1819,1,security,8.567696173589344,12.02817130516971,0.0,5.099866427824199,1.0986122886681098,9.13637085177601,3.1354942159291497,4508.811168981481,0.14492202358311146,0.09628960053372601,0.2577542545994595
27,libxml2,CVE-2015-1819,0,bugfix,8.615951963439501,12.112959051464008,0.0,5.111987788356544,2.302585092994046,9.588502797556337,7.050122520269059,8345.774074074074,0.2767306995288148,0.13987436919381935,0.30651239661213797
28,libxml2,CVE-2015-5312,1,security,9.551942286417393,12.990394192469129,0.0,6.436150368369428,2.5649493574615367,11.163594913405634,4.465908118654584,6307.985034722222,0.2179660294222159,0.21861142395416433,0.29428815190639096
28,libxml2,CVE-2015-5312,0,bugfix,9.064389316491878,12.448540278283208,0.0,6.385194398997726,3.332204510175204,10.7791437723141,6.754604099487962,9714.278252314814,0.23955560698993172,0.13793783670712614,0.2951633208274744
29,libxml2,CVE-2015-7497,1,security,6.99117688712121,10.322658307700404,0.0,3.6888794541139363,0.0,7.555905093611346,0.0,4476.60525462963,0.21639042357274402,0.0,0.3034688663594779
29,libxml2,CVE-2015-7497,0,bugfix,6.92461239604856,10.327970666480054,0.0,3.6888794541139363,1.3862943611198906,7.351799869057777,5.351858133476067,7374.288136574074,0.2047244094488189,0.0,0.2988337056763684
30,libxml2,CVE-2015-7500,1,security,9.55400099583723,12.992031432512604,0.0,6.444131256700441,2.8903717578961645,11.164870405705935,5.176149732573829,6308.185462962963,0.21808510638297873,0.2187352073200497,0.2943366080330991
30,libxml2,CVE-2015-7500,0,bugfix,9.064042114358884,12.448442187329274,0.0,6.3835066348840055,4.543294782270004,10.778727096960669,8.94023623179847,9497.414131944444,0.23952303774021763,0.13793783670712614,0.29518227001373704
31,libxml2,CVE-2015-8035,1,security,6.480044561926653,10.087183164883227,0.0,2.1972245773362196,0.0,7.175489713624222,0.0,1375.7163541666666,0.1966205837173579,0.0,0.3152597924243088
31,libxml2,CVE-2015-8035,0,bugfix,5.4680601411351315,8.894258825002703,0.0,2.1972245773362196,2.1972245773362196,5.700443573390687,5.700443573390687,126.99820601851852,0.09322033898305085,0.0,0.32032305490376145
32,libxml2,CVE-2015-8242,1,security,8.738735461363474,12.248629134944087,0.0,5.634789603169249,1.0986122886681098,10.159059571069676,4.007333185232471,5981.684259259259,0.13399583266549125,0.1938109326219239,0.28125012360916013
32,libxml2,CVE-2015-8242,0,bugfix,8.705993714307901,12.138580433205094,0.0,5.7430031878094825,3.58351893845611,10.230486487364859,7.8528278122817445,9192.870925925927,0.2312023848956608,0.12830883530240023,0.29309252534229796
