repo,security_event_id,security_commit,security_parent,security_file,security_suffix,security_subsystem_key,security_top_level_key,security_directory_depth,security_loc,security_size_bytes,security_prior_touches_total,security_prior_touches_365d,security_total_churn,security_churn_365d,security_file_age_days,security_composite,security_ci_gzip,security_entropy,security_cc_density,security_halstead,security_source_family
libxml2,CVE-2015-7497,6360a31a84efe69d155ed96306b9a931a40beab9,53ac9c9649fa091377dfea9511f012171f08972d,dict.c,.c,<root>,<root>,0.0,1086.0,30413.0,39.0,0.0,1911.0,0.0,4476.60525462963,0.3034688663594779,0.21194883766810246,0.7107918514531726,0.21639042357274402,0.0,explicit_only
libxml2,CVE-2015-5312,69030714cde66d525a8884bda01b9e8f0abf8e1e,6360a31a84efe69d155ed96306b9a931a40beab9,parser.c,.c,<root>,<root>,0.0,14071.0,438183.0,623.0,12.0,70515.0,86.0,6307.985034722222,0.29428815190639096,0.1888023953462366,0.5983494719041428,0.2179660294222159,0.21861142395416433,explicit_only
libxml2,CVE-2015-7500,f1063fdbe7fa66332bbb76874101c2a7b51b519f,fdfeecc1b73b0318466f0d61f0b8881ed9d92dd2,parser.c,.c,<root>,<root>,0.0,14100.0,438901.0,628.0,17.0,70605.0,176.0,6308.185462962963,0.2943366080330991,0.18894238108366124,0.598267402130835,0.21808510638297873,0.2187352073200497,explicit_only
libxml2,CVE-2015-8242,8fb4a770075628d6441fb17a1e435100e2f3b1a2,f1063fdbe7fa66332bbb76874101c2a7b51b519f,HTMLparser.c,.c,<root>,<root>,0.0,6239.0,208694.0,279.0,2.0,25823.0,54.0,5981.684259259259,0.28125012360916013,0.20588517159094177,0.6123508723463142,0.13399583266549125,0.1938109326219239,explicit_only
libxml2,CVE-2016-3705,8f30bdff69edac9075f4663ce3b56b0c52d48ce6,846cf015a77b9bca7b90c17c1f608ece3e268dad,parser.c,.c,<root>,<root>,0.0,14115.0,439549.0,632.0,19.0,70655.0,219.0,6491.9056712962965,0.29449745475559913,0.1890278444496518,0.598311842146518,0.21849096705632307,0.21885888457073488,explicit_only
libxml2,CVE-2016-4658,c1d1f7121194036608bf555f08d3062a36fd344b,3f8a91036d338e51c059d54397a42d645f019c65,xpointer.c,.c,<root>,<root>,0.0,2639.0,76912.0,70.0,3.0,10175.0,86.0,5845.095324074074,0.28752733034633265,0.2056116080715623,0.6618489445528596,0.19477074649488443,0.0366322214245816,explicit_only
libxml2,CVE-2016-5131,9ab01a277d71f54d3143c2cf333c5c2e9aaedd9e,a005199330b86dada19d162cae15ef9bdcb6baa8,xpointer.c,.c,<root>,<root>,0.0,2687.0,78344.0,68.0,1.0,10091.0,2.0,5845.095324074074,0.2862507149578755,0.20316807924027366,0.6623829897432574,0.19240788983997023,0.036194377373524135,explicit_only
libxml2,CVE-2016-5131,9ab01a277d71f54d3143c2cf333c5c2e9aaedd9e,a005199330b86dada19d162cae15ef9bdcb6baa8,xpath.c,.c,<root>,<root>,0.0,13733.0,428757.0,391.0,10.0,47899.0,48.0,6298.866539351852,0.29058326257340283,0.17715395900241862,0.6046265126224075,0.20672831864851088,0.21761731491074893,explicit_only
libxml2,CVE-2017-16931,e26630548e7d138d2c560844c43820b6767251e3,7482f41f61d733656d588b4d8c300b1ecdff7f5f,runtest.c,.c,<root>,<root>,0.0,4031.0,117288.0,65.0,2.0,22636.0,14.0,4361.78431712963,0.2678997766656262,0.1811438510333538,0.6390821451568663,0.10915405606549243,0.14030120235749965,reference_only
libxml2,CVE-2017-9049,e26630548e7d138d2c560844c43820b6767251e3,7482f41f61d733656d588b4d8c300b1ecdff7f5f,runtest.c,.c,<root>,<root>,0.0,4031.0,117288.0,65.0,2.0,22636.0,14.0,4361.78431712963,0.2678997766656262,0.1811438510333538,0.6390821451568663,0.10915405606549243,0.14030120235749965,explicit_only
