repo,event_id,published,published_epoch,fixed_commit,fixed_epoch,aliases,source
django-django,CVE-2023-31047,2023-05-07T02:15:08.917000+00:00,1683425708,dceb634ba42d3a182ea653dce31a529017f75a95,1683114910,BIT-DJANGO-2023-31047;CVE-2023-31047;GHSA-R3XC-PRGR-MG9P;PYSEC-2023-61,osv_range
django-django,CVE-2023-36053,2023-07-03T13:15:09.737000+00:00,1688390109,1651351386ab31d8ae492c8a4922797714ca97d1,1688365267,BIT-DJANGO-2023-36053;CVE-2023-36053;GHSA-JH3W-4VVF-MJGR;PYSEC-2023-100,osv_range
django-django,CVE-2023-41164,2023-11-03T05:15:29.447000+00:00,1698988529,b8b2f7451201f3ff60891b6ce55f177400700d7a,1693822008,BIT-DJANGO-2023-41164;CVE-2023-41164;GHSA-7H4P-27MH-HMRW;PYSEC-2023-225,osv_range
django-django,CVE-2023-43665,2023-11-03T05:15:30.047000+00:00,1698988530,c22017bd1dddb5b57d8a179e6378ef0c8d7f5eeb,1696423864,BIT-DJANGO-2023-43665;CVE-2023-43665;GHSA-H8GC-PGJ2-VJM3;PYSEC-2023-226,osv_range
django-django,CVE-2023-46695,2023-11-02T06:15:08+00:00,1698905708,d254a54e7f65e83d8971bd817031bc6af32a7a46,1698816093,BIT-DJANGO-2023-46695;CVE-2023-46695;GHSA-QMF9-6JQF-J8FQ;PYSEC-2023-222,osv_range
django-django,CVE-2024-24680,2024-02-06T22:16:15.470000+00:00,1707257775,428d06ccef09e70bcef9869c5a9404863b2fc7d8,1707222167,BIT-DJANGO-2024-24680;CVE-2024-24680;GHSA-XXJ9-F6RV-M3X4;PYSEC-2024-28,osv_range
django-django,CVE-2024-27351,2024-03-15T20:15:09.303000+00:00,1710533709,3394fc6132436eca89e997083bae9985fb7e761e,1709536960,BIT-DJANGO-2024-27351;CVE-2024-27351;GHSA-VM8Q-M57G-PFF3;PYSEC-2024-47,osv_range+osv_ref
django-django,CVE-2024-38875,2024-07-10T05:15:12.020000+00:00,1720588512,deec9b933ee8496274e4c53217a38f31cb59a27f,1720531774,BIT-DJANGO-2024-38875;CVE-2024-38875;GHSA-QG2P-9JWR-MMQF;PYSEC-2024-56,osv_range
django-django,CVE-2024-39329,2024-07-10T05:15:12.097000+00:00,1720588512,deec9b933ee8496274e4c53217a38f31cb59a27f,1720531774,BIT-DJANGO-2024-39329;CVE-2024-39329;GHSA-X7Q2-WR7G-XQMF;PYSEC-2024-57,osv_range
django-django,CVE-2024-39330,2024-07-10T05:15:12.167000+00:00,1720588512,deec9b933ee8496274e4c53217a38f31cb59a27f,1720531774,BIT-DJANGO-2024-39330;CVE-2024-39330;GHSA-9JMF-237G-QF46;PYSEC-2024-58,osv_range
django-django,CVE-2024-39614,2024-07-10T05:15:12.237000+00:00,1720588512,deec9b933ee8496274e4c53217a38f31cb59a27f,1720531774,BIT-DJANGO-2024-39614;CVE-2024-39614;GHSA-F6F8-9MX6-9MX2;PYSEC-2024-59,osv_range
django-django,CVE-2024-41989,2024-08-07T15:15:56.030000+00:00,1723043756,4d32ebcd57340aa8de2d6d31613f1646dc6391f6,1722948990,BIT-DJANGO-2024-41989;CVE-2024-41989;GHSA-JH75-99HH-QVX9;PYSEC-2024-67,osv_range
django-django,CVE-2024-41990,2024-08-07T15:15:56.100000+00:00,1723043756,4d32ebcd57340aa8de2d6d31613f1646dc6391f6,1722948990,BIT-DJANGO-2024-41990;CVE-2024-41990;GHSA-795C-9XPC-XW6G;PYSEC-2024-68,osv_range
django-django,CVE-2024-41991,2024-08-07T15:15:56.160000+00:00,1723043756,4d32ebcd57340aa8de2d6d31613f1646dc6391f6,1722948990,BIT-DJANGO-2024-41991;CVE-2024-41991;GHSA-R836-HH6V-RG5G;PYSEC-2024-69,osv_range
django-django,CVE-2024-42005,2024-08-07T15:15:56.220000+00:00,1723043756,4d32ebcd57340aa8de2d6d31613f1646dc6391f6,1722948990,BIT-DJANGO-2024-42005;CVE-2024-42005;GHSA-PV4P-CWWG-4RPH;PYSEC-2024-70,osv_range
django-django,CVE-2024-45230,2024-10-08T16:15:11.903000+00:00,1728404111,8e68f938f376cf2ca22a7e8ff0bcbe1b7a5832d1,1725366889,BIT-DJANGO-2024-45230;CVE-2024-45230;GHSA-5HGC-2VFP-MQVC;PYSEC-2024-102,osv_range
django-django,CVE-2024-45231,2024-10-08T16:15:11.997000+00:00,1728404111,8e68f938f376cf2ca22a7e8ff0bcbe1b7a5832d1,1725366889,BIT-DJANGO-2024-45231;CVE-2024-45231;GHSA-RRQC-C2JX-6JGV,osv_range
django-django,CVE-2024-53907,2024-12-06T12:15:17.730000+00:00,1733487317,2d4add11fd57b05f7ea48e8b3e89e743c9871aa3,1733316910,BIT-DJANGO-2024-53907;CVE-2024-53907;GHSA-8498-2H75-472J;PYSEC-2024-156,osv_range
