repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,event_date_source,snapshot_commit,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
curl,CVE-2016-8625,1478073600,2016-11-02T08:00:00+00:00,9c91ec778104ae3b744b39444d544e82d5ee9ece,1477899995,CURL-CVE-2016-8625;CVE-2016-8625,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,6,lib/curl_setup.h;lib/easy.c;lib/strerror.c;lib/strerror.h;lib/url.c;lib/version.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-9586,1482307200,2016-12-21T08:00:00+00:00,3ab3c16db6a5674f53cf23d56512a405fde0b2c9,1482130400,CURL-CVE-2016-9586;CVE-2016-9586,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/mprintf.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-9952,1482307200,2016-12-21T08:00:00+00:00,0354eed41085baa5ba8777019ebf5e9ef32c001d,1482130400,CURL-CVE-2016-9952;CVE-2016-9952,osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,2,lib/hostcheck.c;lib/vtls/schannel.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-9953,1482307200,2016-12-21T08:00:00+00:00,0354eed41085baa5ba8777019ebf5e9ef32c001d,1482130400,CURL-CVE-2016-9953;CVE-2016-9953,osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,2,lib/hostcheck.c;lib/vtls/schannel.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2016-9594,1482480000,2016-12-23T08:00:00+00:00,f81b2277a8e7e9ce8809ccd30c25b8aa72101215,1482360163,CURL-CVE-2016-9594;CVE-2016-9594,osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,0,,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-2629,1487750400,2017-02-22T08:00:00+00:00,ca6ea6d9be5102a2246dff6e17b3ee9ad4ec64d0,1487662398,CURL-CVE-2017-2629;CVE-2017-2629,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/url.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-7407,1491206400,2017-04-03T08:00:00+00:00,1890d59905414ab84a35892b2e45833654aa5c13,1489303711,CURL-CVE-2017-7407;CVE-2017-7407,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,src/tool_writeout.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-7468,1492588800,2017-04-19T08:00:00+00:00,33cfcfd9f0378625d3bddbd2c8ac5aad4b646f26,1492494994,CURL-CVE-2017-7468;CVE-2017-7468,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,12,lib/url.c;lib/urldata.h;lib/vtls/axtls.c;lib/vtls/cyassl.c;lib/vtls/darwinssl.c;lib/vtls/gtls.c;lib/vtls/mbedtls.c;lib/vtls/nss.c;lib/vtls/openssl.c;lib/vtls/polarssl.c;lib/vtls/schannel.c;lib/vtls/vtls.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-9502,1497427200,2017-06-14T08:00:00+00:00,5d7952f52e410e1d4a8ff1965e5cc6fc1bde86aa,1497339260,CURL-CVE-2017-9502;CVE-2017-9502,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/url.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-1000099,1502265600,2017-08-09T08:00:00+00:00,c9332fa5e84f24da300b42b1a931ade929d3e27d,1502090670,CURL-CVE-2017-1000099;CVE-2017-1000099,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/file.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-1000100,1502265600,2017-08-09T08:00:00+00:00,358b2b131ad6c095696f20dcfa62b8305263f898,1502090670,CURL-CVE-2017-1000100;CVE-2017-1000100,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,lib/tftp.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
curl,CVE-2017-1000101,1502265600,2017-08-09T08:00:00+00:00,453e7a7a03a2cec749abd3878a48e728c515cca7,1502090670,CURL-CVE-2017-1000101;CVE-2017-1000101,explicit_id+osv_range,osv_published,79e63a53bb9598af863b0afe49ad662795faeef4,1,src/tool_urlglob.c,curl-7_50_0,2016-07-21T08:53:38+00:00,curl:curl-7_50_0
