repo,security_commit,security_event_id,security_ground_truth_policy,bugfix_commit,n_pairs,mean_delta_composite,median_delta_composite,positive_share
openssl,41be0f216404f14457bbf3b9cc488dba60b49296,CVE-2025-69419,strict_nvd_event,5c8a3e06c97e831f241c7b215e3e61acd646de10,2,0.03633665227603039,0.03633665227603039,1.0
openssl,a99349ebfc519999edc50620abe24d599b9eb085,CVE-2025-69420,strict_nvd_event,546c5b3eadd202fb59127cba1856287fcc772383,1,0.03457212650126418,0.03457212650126418,1.0
openssl,feba02f3919495e1b960c33ba849e10e77d0785d,CVE-2014-3571,strict_nvd_event,99ba983e28f07c6dc38538cd9bc71cd3e070f3c4,2,0.023426188182949392,0.023426188182949392,1.0
openssl,e96d22446e633d117e6c9904cb15b4693e956eaa,CVE-2025-4575,strict_nvd_event,9ada832a81a89458d667778dd57108ee12bd3740,1,0.019485151802362433,0.019485151802362433,1.0
openssl,4924b37ee01f71ae19c94a8934b80eeb2f677932,CVE-2015-1788,strict_nvd_event,6c93fa3919c36f1993aa26901f260d58c0aecb96,1,0.012905196688719645,0.012905196688719645,1.0
openssl,59302b600e8d5b77ef144e447bb046fd7ab72686,CVE-2015-1790,strict_nvd_event,60b0bbc5db752f02eee4555b358ec6a39a0ef3a9,1,0.010777752047314959,0.010777752047314959,1.0
openssl,ef2fb66ec571564d64d1c74a12e388a2a54d05d2,CVE-2026-22795,strict_nvd_event,e1156ee77b8c16fc92742b408f663ce1780ca45f,3,0.01009652785979013,-0.00011984510248502778,0.3333333333333333
openssl,f48b83b4fb7d6689584cf25f61ca63a4891f5b11,CVE-2015-1789,strict_nvd_event,4951f04a4e46d6bf910500d6d8859b8aa7516ac5,1,0.006221781481626831,0.006221781481626831,1.0
openssl,103b171d8fc282ef435f8de9afbf7782e312961f,CVE-2015-0206,strict_nvd_event,5fc5acb5c0223168aed36f6d23149c8657660424,1,0.006191315892561167,0.006191315892561167,1.0
openssl,ef2fb66ec571564d64d1c74a12e388a2a54d05d2,CVE-2026-22796,strict_nvd_event,2eb406c3cc717b45e6e7065f8111596118e2e9cb,3,0.003649451654955116,0.014985712401914486,0.6666666666666666
openssl,b2539639400288a4580fe2d76247541b976bade4,CVE-2025-15468,strict_nvd_event,88ecf93695b989c648a1ebed1db31f968c1d060c,1,0.0022863451758634024,0.0022863451758634024,1.0
