repo,snapshot_tag,snapshot_key,event_observation_id,label,file_path,opacity_stratum,composite_score,loc,log_loc,directory_depth,suffix,advisory_ids,source_families,mapping_bases,baseline_history,baseline_history_plus_structure,baseline_plus_composite,baseline_size,score_mean,score_std,score_range,history_vs_composite_gap,structure_vs_composite_gap
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/management/commands/sqlsequencereset.py,0,django/core/management/commands/sqlsequencereset.py,Q9,0.4831435076252737,19.0,2.995732273553991,4.0,.py,,,,0.002772491174405635,0.0020619896267903685,0.0040654328827755635,0.00165660554054689,0.002639129806129614,0.0009152281737447719,0.0024088273422286735,0.0012929417083699284,0.002003443255985195
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/management/commands/squashmigrations.py,0,django/core/management/commands/squashmigrations.py,Q3,0.33002260035401665,173.0,5.159055299214529,4.0,.py,,,,0.009175270949972728,0.009548098297304474,0.010223440762049289,0.009760681079935872,0.009676872772315591,0.00037879666492056813,0.0010481698120765603,0.0010481698120765603,0.0006753424647448145
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/management/commands/startapp.py,0,django/core/management/commands/startapp.py,Q8,0.4133973519412531,23.0,3.1780538303479458,4.0,.py,,,,0.0022310621650344815,0.0017681201504904124,0.0027610980235597024,0.0018341130780679588,0.0021485983542881386,0.0003954809658709919,0.00099297787306929,0.0005300358585252208,0.00099297787306929
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/management/commands/startproject.py,0,django/core/management/commands/startproject.py,Q7,0.40257193332174396,26.0,3.295836866004329,4.0,.py,,,,0.0023880290123292542,0.0019496960102570312,0.0029115698735766686,0.0020832192253948455,0.0023331285303894497,0.000369825502312726,0.0009618738633196374,0.0005235408612474144,0.0009618738633196374
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/management/commands/test.py,0,django/core/management/commands/test.py,Q6,0.37946130116802657,52.0,3.970291913552122,4.0,.py,,,,0.0061993587330099855,0.005520493970560896,0.007334673970439899,0.0035310906340044164,0.005646404327003799,0.0013826078982958055,0.003803583336435483,0.0011353152374299139,0.0018141799998790033
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/management/commands/testserver.py,0,django/core/management/commands/testserver.py,Q6,0.37243443715463753,46.0,3.8501476017100584,4.0,.py,,,,0.0033341579734606852,0.003039733370564192,0.003848727218579665,0.00325662903922477,0.003369811900457328,0.0002968136117227878,0.000808993848015473,0.0005145692451189797,0.000808993848015473
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/management/sql.py,0,django/core/management/sql.py,Q7,0.39674168157299566,46.0,3.8501476017100584,3.0,.py,,,,0.004870268570642879,0.0037652536903776635,0.005763696060089579,0.003660626943111637,0.004514961316055439,0.0008627761081116524,0.0021030691169779416,0.0008934274894466998,0.001998442369711915
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/management/templates.py,0,django/core/management/templates.py,Q4,0.34024147112894043,303.0,5.717027701406222,3.0,.py,,,,0.01584102172831275,0.01761607794080298,0.0176641407453602,0.016907490911131102,0.01700718283140176,0.0007369221723306972,0.0018231190170474483,0.0018231190170474483,4.806280455721748e-05
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/management/utils.py,0,django/core/management/utils.py,Q7,0.40517979258174924,96.0,4.574710978503383,3.0,.py,,,,0.004502610024449146,0.004123003442960654,0.005599599894099523,0.006257595500412471,0.005120702215480449,0.0008513680351662911,0.002134592057451817,0.0010969898696503774,0.0014765964511388686
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/paginator.py,0,django/core/paginator.py,Q3,0.3355202579361181,146.0,4.990432586778736,2.0,.py,,,,0.011877742785800859,0.011562103496802447,0.012330590895128042,0.010189159363984934,0.011489899135429072,0.0007991124380801097,0.002141431531143108,0.0004528481093271832,0.0007684873983255947
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/serializers/__init__.py,0,django/core/serializers/__init__.py,Q5,0.36278669920421613,193.0,5.267858159063328,3.0,.py,,,,0.005566171381129343,0.005727521135986757,0.006480903215296068,0.011387769263548786,0.007290591248990239,0.0023905686799236474,0.005821597882419443,0.0009147318341667246,0.0007533820793093112
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/serializers/base.py,0,django/core/serializers/base.py,Q3,0.3346645590765232,189.0,5.247024072160486,3.0,.py,,,,0.016796103560817278,0.01838450944476678,0.017876640147016915,0.010982011111493073,0.016009816066023513,0.0029589386390095123,0.007402498333273706,0.0010805365861996374,0.000507869297749864
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/serializers/json.py,0,django/core/serializers/json.py,Q5,0.3535651197343548,110.0,4.709530201312334,3.0,.py,,,,0.008081866326296617,0.00798436122098617,0.008774143515639618,0.006795011604203603,0.007908845666781501,0.0007115134281486106,0.0019791319114360146,0.0006922771893430012,0.0007897822946534485
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/serializers/python.py,0,django/core/serializers/python.py,Q3,0.3306548503588137,164.0,5.10594547390058,3.0,.py,,,,0.00661883143240114,0.00684458751780374,0.007115000287629507,0.010577533956390614,0.00778898829855625,0.0016195220476112524,0.003958702523989475,0.0004961688552283672,0.00027041276982576676
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/serializers/pyyaml.py,0,django/core/serializers/pyyaml.py,Q6,0.3860094690158866,67.0,4.219507705176107,3.0,.py,,,,0.00587713823414821,0.0054827129364222885,0.006945063073055957,0.004907272600416431,0.005803046711010722,0.000744096080713528,0.002037790472639526,0.0010679248389077467,0.0014623501366336682
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/serializers/xml_serializer.py,0,django/core/serializers/xml_serializer.py,Q2,0.3050126776213826,340.0,5.831882477283517,3.0,.py,,,,0.007630597783789696,0.00879431750613195,0.007924582940229213,0.018414898751839753,0.010691099245497653,0.0044798197911689016,0.010784300968050057,0.00029398515643951767,0.0008697345659027366
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/servers/basehttp.py,0,django/core/servers/basehttp.py,Q6,0.3719817018174608,139.0,4.941642422609304,3.0,.py,,,,0.011947052444987352,0.011582971959516526,0.014038870134377743,0.009050347973201964,0.011654810628020897,0.0017718303759159109,0.00498852216117578,0.0020918176893903913,0.0024558981748612173
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/signals.py,0,django/core/signals.py,Q10,0.5177395206685718,5.0,1.791759469228055,2.0,.py,,,,0.0011218311857419691,0.0006858044221027797,0.001634472626285546,0.0008206307186591072,0.0010656847381973504,0.00036435992241726824,0.0009486682041827663,0.000512641440543577,0.0009486682041827663
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/signing.py,0,django/core/signing.py,Q5,0.3540888855092812,161.0,5.087596335232384,2.0,.py,,,,0.0060226577009845576,0.005962826061326903,0.0067122328032953255,0.011688664363894027,0.007596595232375203,0.002380840594206446,0.005725838302567125,0.0006895751023107679,0.0007494067419684227
django-django,1.11.6,django-django:1.11.6,django-django:1.11.6:NEG:django/core/urlresolvers.py,0,django/core/urlresolvers.py,Q10,0.5168694887185629,7.0,2.0794415416798357,2.0,.py,,,,0.002557223334639563,0.001510408880302002,0.0036009162813300925,0.0009248861252938853,0.0021483586553913856,0.0010223696652934765,0.002676030156036207,0.0010436929466905295,0.00209050740102809
