pair_id,repo,security_event_id,security_ground_truth_policy,commit,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,log_loc,log_size_bytes
612,openssl,CVE-2011-3207,expanded_advisory_event,c2a8133d1c292cdabc44b211994678cc43d498b6,1,security,crypto/x509/x509_vfy.c,.c,1806.0,52923.0,0.27033614874440226,0.6745308856721918,0.1982281284606866,0.0965784284662087,0.32344738617166113,7.499423290592229,10.8766122011623
612,openssl,CVE-2011-3207,expanded_advisory_event,7c75acfedc2cc2f4d5973a7e8c2a4aca55abb8db,0,bugfix,apps/lib/s_cb.c,.c,1475.0,52954.0,0.2543528345356347,0.6734986241637411,0.20677966101694914,0.13465137331656346,0.32571502439391475,7.297091005160418,10.87719777527777
613,openssl,CVE-2011-3210,expanded_advisory_event,c2a8133d1c292cdabc44b211994678cc43d498b6,1,security,crypto/x509/x509_vfy.c,.c,1806.0,52923.0,0.27033614874440226,0.6745308856721918,0.1982281284606866,0.0965784284662087,0.32344738617166113,7.499423290592229,10.8766122011623
613,openssl,CVE-2011-3210,expanded_advisory_event,e5feca0659ef6119f6cedfab1b6af034735723ff,0,bugfix,ssl/record/rec_layer_s3.c,.c,1212.0,52645.0,0.24627220058884985,0.7079517327063632,0.23102310231023102,0.08392037880969436,0.3301696419171356,7.10085190894405,10.87134554126669
614,openssl,CVE-2011-4577,expanded_advisory_event,356de7146edff8aef5ef2ddaa96fa0c9f7332e61,1,security,crypto/x509v3/v3_addr.c,.c,1155.0,36766.0,0.2398411575912528,0.7085346008400452,0.22683982683982684,0.016992500144231214,0.31738896419876056,7.052721049232323,10.512355982715523
614,openssl,CVE-2011-4577,expanded_advisory_event,436311e63aff7206a91eeb70f5733bc9e93cbb93,0,bugfix,crypto/pkcs7/pk7_doit.c,.c,1073.0,36699.0,0.2058639199978201,0.6936107997896194,0.20037278657968313,0.049585502688717045,0.3003189005200253,6.97914527506881,10.510532034042662
615,openssl,CVE-2012-0027,expanded_advisory_event,00f473b3cc959d598ce7676f16b3dcdf01b88014,1,security,engines/ccgost/gost94_keyx.c,.c,254.0,7847.0,0.316426659870014,0.7546504877742458,0.1377952755905512,0.0,0.33320659397827923,5.541263545158426,8.9680140012452
615,openssl,CVE-2012-0027,expanded_advisory_event,14819cf8bf79da78fa8aaefdf0aecb1dcaaa38f7,0,bugfix,providers/implementations/ciphers/cipher_rc4_hmac_md5.c,.c,196.0,7892.0,0.22187024835276228,0.7708203398794387,0.14795918367346939,0.0,0.30689119783365704,5.2832037287379885,8.973731569708402
616,openssl,CVE-2012-0027,expanded_advisory_event,00f473b3cc959d598ce7676f16b3dcdf01b88014,1,security,engines/ccgost/gost2001_keyx.c,.c,270.0,8573.0,0.31645864924763795,0.7512581926474589,0.13703703703703704,0.0,0.33235803309086226,5.602118820879701,9.056489647157923
616,openssl,CVE-2012-0027,expanded_advisory_event,7f503e882bfb6a56186fb54e4d2476df51578f07,0,bugfix,crypto/asn1/a_sign.c,.c,250.0,8637.0,0.27683223341438,0.7764456604031523,0.188,0.0,0.3370031213259434,5.5254529391317835,9.063926353520646
617,openssl,CVE-2011-4619,expanded_advisory_event,9004c53107aee0e2afae8544bd10a2e8bc621eeb,1,security,ssl/ssl_err.c,.c,558.0,36716.0,0.22317245887351564,0.6178689459601044,0.0035842293906810036,0.1014020470314934,0.2451823091758209,6.326149473155099,10.510995142050447
617,openssl,CVE-2011-4619,expanded_advisory_event,bf8450238d4c61ec3a5012005e3506aaac892b80,0,bugfix,crypto/pkcs7/pk7_doit.c,.c,1073.0,36664.0,0.20592406720488762,0.6935180090429824,0.19850885368126747,0.049585502688717045,0.2998354967902395,6.97914527506881,10.5095779005279
618,openssl,CVE-2011-4619,expanded_advisory_event,9004c53107aee0e2afae8544bd10a2e8bc621eeb,1,security,ssl/s3_srvr.c,.c,2742.0,81613.0,0.26262972810704177,0.6638784997306205,0.16229029905178702,0.15117526537673792,0.31653301047303634,7.916807490937603,11.309756094863436
618,openssl,CVE-2011-4619,expanded_advisory_event,9fe7bf38822b60fd79504710c169db97ad522315,0,bugfix,ssl/ech/ech_internal.c,.c,2037.0,78427.0,0.23457482754663572,0.6898268679429612,0.21502209131075112,0.10660891904577721,0.3195415267609565,7.61972421378267,11.269936285435312
619,openssl,CVE-2011-4619,expanded_advisory_event,9004c53107aee0e2afae8544bd10a2e8bc621eeb,1,security,ssl/ssl.h,.h,1925.0,93660.0,0.254975443092035,0.6619022413791054,0.004675324675324675,0.29210970881067927,0.2946187950200624,7.563200592358071,11.447437159597042
619,openssl,CVE-2011-4619,expanded_advisory_event,207cd5bb975f1cda542757b9695ac4e5bdb71576,0,bugfix,ssl/ssl_local.h,.h,2470.0,127069.0,0.23334566259276457,0.6736945647102788,0.011336032388663968,0.2832890014164741,0.2900169127574248,7.81237820598861,11.75249339469858
620,openssl,CVE-2011-4576,expanded_advisory_event,8206dba75c7fc1a5274b3a9f8ddc4e77cf34669d,1,security,ssl/s3_enc.c,.c,747.0,24897.0,0.29236454191268024,0.7264988033866663,0.14323962516733602,0.021431912080076644,0.3201794578136281,6.617402977974478,10.122542757941732
620,openssl,CVE-2011-4576,expanded_advisory_event,07f65e16c209e06be9887c2d5f943f528e3f0139,0,bugfix,crypto/x509/x509_lu.c,.c,806.0,24935.0,0.1985161419691197,0.7059317477634076,0.1588089330024814,0.015987133677838904,0.28565429164345557,6.693323668269949,10.124067821447174
621,openssl,CVE-2011-4109,expanded_advisory_event,1db0bbdc76cfd715b60a155220328c15409cf1aa,1,security,crypto/x509v3/pcy_map.c,.c,158.0,5837.0,0.3774199074867226,0.7895221002275323,0.12025316455696203,0.0,0.359640720998819,5.0689042022202315,8.67214355141406
621,openssl,CVE-2011-4109,expanded_advisory_event,7cc69ec4cf575232040ac776f405fb31f030e59a,0,bugfix,apps/configutl.c,.c,166.0,5745.0,0.3536988685813751,0.8129673184695005,0.13253012048192772,0.0,0.3602908088240189,5.117993812416755,8.656259239539235
622,openssl,CVE-2011-4109,expanded_advisory_event,1db0bbdc76cfd715b60a155220328c15409cf1aa,1,security,crypto/x509v3/pcy_tree.c,.c,544.0,17135.0,0.31508608112051356,0.7453560919023783,0.19669117647058823,0.0,0.3428982581009257,6.300785794663244,9.74893679268753
622,openssl,CVE-2011-4109,expanded_advisory_event,347e3f79a094ccf7cb2456acad18fa1590d0af8b,0,bugfix,crypto/comp/c_zlib.c,.c,537.0,17146.0,0.22944126910066487,0.7528697914637008,0.1564245810055866,0.0,0.3056003534890315,6.2878585601617845,9.749578510178852
623,openssl,CVE-2012-0050,expanded_advisory_event,096327a99a01bdf616a474dfb2a39d6f6474da38,1,security,ssl/d1_pkt.c,.c,1424.0,50111.0,0.29099399333479675,0.693048857305303,0.17415730337078653,0.06438561897747253,0.32440062013590293,7.261927092702751,10.822015779350474
623,openssl,CVE-2012-0050,expanded_advisory_event,b1d91912606d52a3b18eec97d3e02e673fd83030,0,bugfix,providers/implementations/keymgmt/ec_kmgmt.c,.c,1283.0,50016.0,0.18552063339731287,0.6861460774370022,0.2127825409197194,0.08201789624151878,0.29930791164217085,7.157735484249907,10.82011822662338
624,openssl,CVE-2012-0884,expanded_advisory_event,6a0a48433b3ad29027a3f2315a5a0e119b96ddc4,1,security,crypto/cms/cms_enc.c,.c,231.0,7120.0,0.3473314606741573,0.7806503018264723,0.15151515151515152,0.0,0.35391917232417,5.44673737166631,8.870803443982124
624,openssl,CVE-2012-0884,expanded_advisory_event,426ee9b2ad77a815aa7a873b09e4400645300773,0,bugfix,crypto/params_dup.c,.c,194.0,7387.0,0.293353188033031,0.8005263902466205,0.19072164948453607,0.0,0.3499802333884094,5.272999558563747,8.90761234131913
625,openssl,CVE-2012-0884,expanded_advisory_event,6a0a48433b3ad29027a3f2315a5a0e119b96ddc4,1,security,crypto/cms/cms_lcl.h,.h,389.0,12975.0,0.2630443159922929,0.7549885792085623,0.002570694087403599,0.0,0.27989078171512827,5.966146739123692,9.470856776355195
625,openssl,CVE-2012-0884,expanded_advisory_event,0f6c8e1b50585ad338f54194934bbf04771470ca,0,bugfix,crypto/arm_arch.h,.h,177.0,6978.0,0.29564345084551447,0.7534563634614438,0.192090395480226,0.0,0.33900921768038733,5.181783550292085,8.850660919017152
