pair_id,repo,security_event_id,security_ground_truth_policy,commit,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,log_loc,log_size_bytes
25,libxml2,CVE-2008-4226,expanded_advisory_event,1dc9feb00fd3bce5967304dcb388ea3ba7e964e6,1,security,parser.c,.c,13069.0,400849.0,0.18953770621855112,0.6018554621282491,0.21302318463539674,0.21072170755913824,0.29328914511984844,9.478074806618269,12.901342571471098
25,libxml2,CVE-2008-4226,expanded_advisory_event,6f9604f0e3e52e96881ab3b662f35fbe04cd49ac,0,bugfix,xpath.c,.c,13129.0,411065.0,0.17943147677374624,0.6069125062054708,0.21052631578947367,0.21623913287569058,0.2925766968261382,9.482654967296842,12.926509064527757
26,libxml2,CVE-2009-2414,expanded_advisory_event,489f9671e71cc44a97b23111b3126ac8a1e21a59,1,security,parser.c,.c,13122.0,402962.0,0.18976479171733315,0.601898595405682,0.2126962353299802,0.2112439506781552,0.29332902343240375,9.482121694896287,12.906600025299502
26,libxml2,CVE-2009-2414,expanded_advisory_event,8583b9f1cdb966315b3caae328f5d9f2c8b65292,0,bugfix,xpath.c,.c,12110.0,379249.0,0.18215209532523488,0.6059573948527474,0.21742361684558217,0.2005624549193879,0.2927680483347881,9.401869409521051,12.845950897210779
27,libxml2,CVE-2009-2416,expanded_advisory_event,489f9671e71cc44a97b23111b3126ac8a1e21a59,1,security,parser.c,.c,13122.0,402962.0,0.18976479171733315,0.601898595405682,0.2126962353299802,0.2112439506781552,0.29332902343240375,9.482121694896287,12.906600025299502
27,libxml2,CVE-2009-2416,expanded_advisory_event,bd6fa2c1d5c163ab94edaf2e62d18cdfee33f913,0,bugfix,xpath.c,.c,13138.0,411341.0,0.17951043051871804,0.6068228986190132,0.21061044298980058,0.21636496760158241,0.2926126482976609,9.483340185641822,12.927180264249456
28,libxml2,CVE-2014-0191,expanded_advisory_event,dd8367da17c2948981a51e52c8a6beb445edf825,1,security,parser.c,.c,13955.0,434485.0,0.18859339217694512,0.5989423965167537,0.217484772482981,0.2184875342908283,0.2942781448101354,9.543664802306665,12.981919002224865
28,libxml2,CVE-2014-0191,expanded_advisory_event,0c56eb8215bea9e8e4aa934e45c677e6e132cf68,0,bugfix,tree.c,.c,8003.0,236228.0,0.18651048986572294,0.6221290203643806,0.2420342371610646,0.12550285698187302,0.2943448680986757,8.987696695703624,12.372556952516248
29,libxml2,CVE-2014-3660,expanded_advisory_event,be2a7edaf289c5da74a4f9ed3a0b6c733e775230,1,security,parser.c,.c,14005.0,435857.0,0.18840583035261566,0.5987243673827283,0.2174223491610139,0.2184875342908283,0.2941379008325233,9.547241088215463,12.985071781209898
29,libxml2,CVE-2014-3660,expanded_advisory_event,dd4c0f62fa1fd9650aae6b718dd9964a4ffa69b9,0,bugfix,tree.c,.c,8022.0,236554.0,0.186600099765804,0.6218178122459975,0.24171029668411867,0.12620948453701786,0.29429690823549437,8.990067695753655,12.373936018016208
30,libxml2,CVE-2015-1819,expanded_advisory_event,213f1fe0d76d30eaed6e5853057defc43e6df2c9,1,security,buf.c,.c,1142.0,32834.0,0.21093987939331182,0.6968515974676182,0.1646234676007005,0.0,0.2870338086012455,7.04141166379481,10.399250298625073
30,libxml2,CVE-2015-1819,expanded_advisory_event,b55ee729dea1122a1f2942b83f7f3b21116f873b,0,bugfix,testparser.c,.c,236.0,7289.0,0.2886541363698724,0.7845963238569459,0.09322033898305085,0.0,0.32032305490376145,5.4680601411351315,8.894258825002703
31,libxml2,CVE-2015-1819,expanded_advisory_event,213f1fe0d76d30eaed6e5853057defc43e6df2c9,1,security,include/libxml/tree.h,.h,1147.0,38034.0,0.20208234737340275,0.6919048131192059,0.036617262423714034,0.07004397181410926,0.2609334635386723,7.045776576879511,10.546262067431401
31,libxml2,CVE-2015-1819,expanded_advisory_event,5bd6b44d139758652a259ee8cead6d8c61692fe3,0,bugfix,include/libxml/xmlerror.h,.h,975.0,39309.0,0.22147599786308478,0.4658098622808351,0.0020512820512820513,0.1805743872151618,0.2152285282936202,6.883462586413092,10.579234218415905
32,libxml2,CVE-2015-1819,expanded_advisory_event,213f1fe0d76d30eaed6e5853057defc43e6df2c9,1,security,xmlreader.c,.c,5258.0,167404.0,0.16617882487873648,0.6148137914226409,0.14492202358311146,0.09628960053372601,0.2577542545994595,8.567696173589344,12.02817130516971
32,libxml2,CVE-2015-1819,expanded_advisory_event,fe7f835f32757632edff0052d74063e97229d2c4,0,bugfix,xmlschemastypes.c,.c,5518.0,182217.0,0.1774203285094146,0.6376734709660439,0.2767306995288148,0.13987436919381935,0.30651239661213797,8.615951963439501,12.112959051464008
33,libxml2,CVE-2015-8035,expanded_advisory_event,f0709e3ca8f8947f2d91ed34e92e38a4c23eae63,1,security,xzlib.c,.c,651.0,24032.0,0.25719873501997337,0.7154477692910179,0.1966205837173579,0.0,0.3152597924243088,6.480044561926653,10.087183164883227
33,libxml2,CVE-2015-8035,expanded_advisory_event,1e6b17b8348f9b8d485febaf410d2c419d254924,0,bugfix,testparser.c,.c,61.0,1871.0,0.40994120791020844,0.8451341089636116,0.08196721311475409,0.0,0.3791831338333274,4.127134385045092,7.534762657037537
34,libxml2,CVE-2015-7497,expanded_advisory_event,6360a31a84efe69d155ed96306b9a931a40beab9,1,security,dict.c,.c,1086.0,30413.0,0.21194883766810246,0.7107918514531726,0.21639042357274402,0.0,0.3034688663594779,6.99117688712121,10.322658307700404
