repo,security_commit,security_event_id,security_ground_truth_policy,bugfix_commit,n_pairs,mean_delta_composite,median_delta_composite,positive_share
openssh,d4697fe9a28dab7255c60433e4dd23cf7fce8a8b,CVE-2015-6563,expanded_advisory_event,0f5d19e6fe4b58a89e6dc8c71a2aae30365d193e,2,-0.02189549307738639,-0.02189549307738639,0.0
openssh,bf944e3794eff5413f2df1ef37cddf96918c6bde,CVE-2021-41617,expanded_advisory_event,67b7c784769c74fd4d6b147d91e17e1ac1a8a96d,1,-0.036309724884502015,-0.036309724884502015,0.0
openssh,195313dfe10a23c82e9d56d5fdd2f59beee1bdcf,CVE-2020-29368,expanded_advisory_event,2519110659a1efac6c976895a86659d1b341c91b,1,-0.07599631502844029,-0.07599631502844029,0.0
sqlite,522ebfa7cee96fb325a22ea3a2464a63485886a8,CVE-2019-19317,expanded_advisory_event,34775b696b7c7a04b6b6fcc0e2c5e2e67652cea5,1,0.026895144015617323,0.026895144015617323,1.0
sqlite,57f7ece78410a8aae86aa4625fb7556897db384c,CVE-2019-19242,expanded_advisory_event,15357aaf10261b1c71b8e0197c75e9030c86ef1a,2,0.020758889462332397,0.020758889462332397,1.0
sqlite,e59c562b3f6894f84c715772c4b116d7b5c01348,CVE-2019-19244,expanded_advisory_event,9334b9f1b8dc0f8a1c6f1edfdeb0157f1ba1cc7b,1,0.017037405320674326,0.017037405320674326,1.0
sqlite,527cbd4a104cb93bf3994b3dd3619a6299a78b13,CVE-2019-19603,expanded_advisory_event,1be5689087a8095183f53df4592dfdc71cc90b89,2,0.0025840725960078748,0.0025840725960078748,0.5
sqlite,8654186b0236d556aa85528c2573ee0b6ab71be3,CVE-2019-19924,expanded_advisory_event,990d861038768258588be00b3584d58108d12185,3,-0.004626332742849219,-0.010900304314668485,0.3333333333333333
sqlite,38096961c7cd109110ac21d3ed7dad7e0cb0ae06,CVE-2019-19645,expanded_advisory_event,c2f7be11bb53aeb23746510b4be769cd86139096,3,-0.009682751173403467,-0.0035686918549671653,0.0
sqlite,ebd70eedd5d6e6a890a670b5ee874a5eae86b4dd,CVE-2019-19646,expanded_advisory_event,31d4e56b297266828938dffda1eff6575a5614e3,1,-0.00995843541137692,-0.00995843541137692,0.0
sqlite,396afe6f6aa90a31303c183e11b2b2d4b7956b35,CVE-2019-19923,expanded_advisory_event,4ebf49168ab999672e4d1f1119996796727f0896,1,-0.013884479895171276,-0.013884479895171276,0.0
sqlite,8428b3b437569338a9d1e10c4cd8154acbe33089,CVE-2019-19926,expanded_advisory_event,2953e950c8c8f62dc5710be3279b411b0cac5808,1,-0.014693831657427325,-0.014693831657427325,0.0
sqlite,a6c1a71cde082e09750465d5675699062922e387,CVE-2019-20218,expanded_advisory_event,3f2d7d4aaa9c2e1e2fd6b4ab8412361a9867a3ce,1,-0.014814421288704083,-0.014814421288704083,0.0
sqlite,75e95e1fcd52d3ec8282edb75ac8cd0814095d54,CVE-2019-19880,expanded_advisory_event,5a7338651150a923b9c9e4d5e43325539480d0e1,1,-0.017738348198967302,-0.017738348198967302,0.0
sqlite,56d2fd008b108109f489339f5fd55212bb50afd4,CVE-2025-29088,expanded_advisory_event,3ca448dee5085e8754f5934a6f472779910b7969,1,-0.032312611294496196,-0.032312611294496196,0.0
sqlite,d8f2d46cbc9925e034a68aaaf60aad788d9373c1,CVE-2019-19959,expanded_advisory_event,323199b57eb046cd9d16bfc4909caeebe70915f7,1,-0.05499933025622722,-0.05499933025622722,0.0
sqlite,54d501092d88c0cf89bec4279951f548fb0b8618,CVE-2019-19925,expanded_advisory_event,d06a0be514410d3c7953c927ce7322923f02f457,1,-0.055077762096306104,-0.055077762096306104,0.0
zlib,e54e1299404101a5a9d0cf5e45512b543967f958,CVE-2016-9842,expanded_advisory_event,7fabcb53576aca08b8e25174eb7b0df7c585e4e0,1,0.021243164073447784,0.021243164073447784,1.0
zlib,51b7f2abdade71cd9bb0e7a373ef2610ec6f9daf,CVE-2023-45853,expanded_advisory_event,a566e156b3fa07b566ddbf6801b517a9dba04fa3,10,0.0015557510805391417,-4.802543615384236e-05,0.4
zlib,6a043145ca6e9c55184013841a67b2fef87e44c0,CVE-2016-9840,expanded_advisory_event,a0bf0f31d30088333aacf0b886d606c81a54bf21,1,-0.0003560398924685182,-0.0003560398924685182,0.0
zlib,14a5f8f266c16c87ab6c086fc52b770b27701e01,CVE-2014-9485,expanded_advisory_event,d4eaa1d939f59822ba3ab0b56a547a8fcde33f7e,1,-0.0005530273272183472,-0.0005530273272183472,0.0
zlib,9aaec95e82117c1cb0f9624264c3618fc380cecb,CVE-2016-9841,expanded_advisory_event,04afd39fcc753e2f1369cb471cb6592ea5946546,1,-0.026109331916309153,-0.026109331916309153,0.0
zlib,d1d577490c15a0c6862473d7576352a9f18ef811,CVE-2016-9843,expanded_advisory_event,eb90f6a56892d7f88df99e52300498d6780cacca,1,-0.028621263445263834,-0.028621263445263834,0.0
zlib,5c44459c3b28a9bd3283aaceab7c615f8020c531,CVE-2018-25032,expanded_advisory_event,79baebe50e4d6b73ae1f8b603f0ef41300110aa3,3,-0.033328669737835416,-0.041318577527411304,0.3333333333333333
zlib,eff308af425b67093bab25f80f1ae950166bece1,CVE-2022-37434,expanded_advisory_event,51370f365607fe14a6a7a1a27b3bd29d788f5e5b,1,-0.047311694330987475,-0.047311694330987475,0.0
