repo,commit,parent,cve_ids,case_file,control_file,case_size_bytes,control_size_bytes,case_loc,control_loc,loc_ratio,case_composite,control_composite,delta_composite,case_ci_gzip,control_ci_gzip,delta_ci_gzip,case_entropy,control_entropy,delta_entropy,case_cc_density,control_cc_density,delta_cc_density,case_halstead,control_halstead,delta_halstead
redis,bc7fe41e5857a0854d524e2a63a028e9394d2a5c,a7da7473cbd791589b943f38dcb855404a872928,CVE-2023-28856,src/t_hash.c,src/blocked.c,38515,38224,922,704,1.3096590909090908,0.312559749964473,0.3167324406019818,-0.004172690637508802,0.24226924574840972,0.27697258267057345,-0.034703336922163736,0.7027674353087953,0.749248443635082,-0.046481008326286766,0.20607375271149675,0.140625,0.06544875271149675,0.021431912080076644,0.0027905996569884905,0.018641312423088155
redis,bde62951accfc4bb0a516276fd0b4b307e140ce2,50188747cbfe43528d2719399a2a3c9599169445,CVE-2025-48367,src/anet.c,src/pubsub.c,26240,26156,656,597,1.0988274706867671,0.3296586181157615,0.28608193947808447,0.04357667863767706,0.2576219512195122,0.1955574246826732,0.062064526536839,0.733554384914855,0.710465309615391,0.023089075299464024,0.22865853658536586,0.16750418760469013,0.06115434898067573,0.00874628412503391,0.0,0.00874628412503391
redis,bde62951accfc4bb0a516276fd0b4b307e140ce2,50188747cbfe43528d2719399a2a3c9599169445,CVE-2025-48367,src/anet.h,src/connhelpers.h,1975,2032,47,53,0.8867924528301887,0.35588039331411025,0.4002263647073891,-0.04434597139327884,0.4010126582278481,0.46210629921259844,-0.06109364098475034,0.7753542332797825,0.8626384851257977,-0.08728425184601518,0.06382978723404255,0.07547169811320754,-0.011641910879164996,0.0,0.0,0.0
redis,bde62951accfc4bb0a516276fd0b4b307e140ce2,50188747cbfe43528d2719399a2a3c9599169445,CVE-2025-48367,src/cluster_legacy.c,src/server.c,263726,311783,5285,6174,0.8560090702947846,0.31889846884941103,0.3396968746224668,-0.02079840577305575,0.244401386287283,0.26048245093542627,-0.016081064648143267,0.65478046741422,0.648672327746453,0.006108139667767021,0.1914853358561968,0.19436345966958213,-0.0028781238133853415,0.2011227255423254,0.31104833098162266,-0.10992560543929725
redis,bde62951accfc4bb0a516276fd0b4b307e140ce2,50188747cbfe43528d2719399a2a3c9599169445,CVE-2025-48367,src/socket.c,src/redis-check-rdb.c,15367,15716,361,370,0.9756756756756757,0.32914431416052775,0.3426299810929183,-0.013485666932390561,0.2922496258215657,0.3076482565538305,-0.015398630732264773,0.7513723269144703,0.762561202096331,-0.011188875181860736,0.1634349030470914,0.1837837837837838,-0.020348880736692387,0.0,0.0,0.0
redis,bde62951accfc4bb0a516276fd0b4b307e140ce2,50188747cbfe43528d2719399a2a3c9599169445,CVE-2025-48367,src/tls.c,src/kvstore.c,41457,40050,981,903,1.0863787375415281,0.32712602183736383,0.2980909463903593,0.02903507544700451,0.2484984441710688,0.2446441947565543,0.00385424941451451,0.7087829212527371,0.7015564953815557,0.007226425871181386,0.2089704383282365,0.13953488372093023,0.06943555460730627,0.09098930837700418,0.03219280948873617,0.05879649888826801
redis,bde62951accfc4bb0a516276fd0b4b307e140ce2,50188747cbfe43528d2719399a2a3c9599169445,CVE-2025-48367,src/unix.c,src/slowlog.c,7118,7061,167,157,1.0636942675159236,0.3121022955642999,0.36770756040811386,-0.05560526484381395,0.33099185164372014,0.3560402209318793,-0.025048369288159178,0.7446123364994318,0.7763756991574329,-0.03176336265800106,0.041916167664670656,0.19745222929936307,-0.1555360616346924,0.0,0.0,0.0
redis,c6ad876774f3cc11e32681ea02a2eead00f2c521,f6a40570fa63d5afdd596c78083d754081d80ae3,CVE-2021-41099,src/sds.c,src/bitops.c,41944,42370,1133,960,1.1802083333333333,0.3184623680709465,0.32617181715930066,-0.007709449088354137,0.27043200457753197,0.26667453386830303,0.0037574707092289383,0.7124296366374738,0.7138715381675307,-0.001441901530056855,0.1968225948808473,0.23125,-0.03442740511915271,0.0,0.0,0.0
redis,dcbfcb916ca1a269b3feef86ee86835294758f84,18017df7c1407bc025741c64a90f20f4a8098bd2,CVE-2022-36021,src/util.c,src/bitops.c,44554,47411,1172,1059,1.1067044381491973,0.32239566924871127,0.32982356229835236,-0.007427893049641088,0.26684472774610585,0.26175360148488747,0.005091126261218382,0.7018018841204213,0.7105792529188698,-0.008777368798448482,0.197098976109215,0.2530689329556185,-0.05596995684640349,0.05117526537673793,0.004984854945056227,0.046190410431681705
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/geo.c,src/tls.c,30182,30081,650,749,0.8678237650200267,0.33260741359970497,0.31981479880520836,0.012792614794496615,0.3053144258167119,0.24949303547089524,0.05582139034581668,0.7160760776222789,0.7234566027891459,-0.007380525166867047,0.18769230769230769,0.18958611481975968,-0.0018938071274519908,0.018982455888001758,0.04387918525782606,-0.024896729369824303
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,666ed7facf4524bf6d19b11b20faa2cf93fdf591,CVE-2021-32627;CVE-2021-32628,src/listpack.c,src/util.c,30558,29668,677,770,0.8792207792207792,0.32199789979740184,0.33335384683765473,-0.01135594704025289,0.281464755546829,0.2894027234731023,-0.007937967926273326,0.7369825342185515,0.7206852430174007,0.016297291201150865,0.17134416543574593,0.22077922077922077,-0.04943505534347484,0.0,0.0,0.0
