name,snapshot_id,total_bytes,total_loc,num_files,ci_gzip,ci_lzma,ci_zstd,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,repo,full_name,category,primary_language,stars,snapshot_tag,snapshot_commit,snapshot_date,snapshot_order,future_event_count,future_any_event,days_to_next_event,future_event_ids,log_total_loc,log_total_bytes,log_num_files
redis,6.0-rc3,8192000,161547,244,0.22610986328125,0.131462890625,0.133967041015625,0.565438975054134,0.15748358062978576,0.7789406282794962,0.35491804257045645,redis,redis,low_opacity,,,6.0-rc3,957e917a84ac9979f18145a4d0b53386f5ce4fd9,2020-03-31T15:56:04+00:00,2,0,0,,,11.99255759110792,15.918668748331731,5.501258210544727
redis,8.6-rc1,11868160,231702,316,0.22258395572691975,0.11587238459879207,0.11820484388481449,0.5599435052253733,0.16385270735686355,0.828417343972561,0.35848879289933805,redis,redis,low_opacity,,,8.6-rc1,56020bef968b33a15437649dccbee3dfae28901a,2026-01-22T14:56:48+00:00,3,0,0,,,12.353211658113944,16.289369826192306,5.75890177387728
sqlite,version-1.0,532480,14308,20,0.21819598858173078,0.17759164663461538,0.18171950120192307,0.625366569563116,0.1640341067934023,0.3784634845557521,0.3214955243546238,sqlite,sqlite,low_opacity,,,version-1.0,91523bee638a05d6725681563dd0f58dcc1a225d,2000-08-17T10:25:00+00:00,0,0,0,,,9.568643988906736,13.18530249517797,3.044522437723423
sqlite,version-3.6.5,4556800,119317,151,0.2379615080758427,0.15937236657303372,0.1617696629213483,0.5715478023522291,0.13438990252855837,0.6918676926815126,0.34549332617228334,sqlite,sqlite,low_opacity,,,version-3.6.5,f99b7c8d5672c48a456dfefa0e72f36fbd0d4c8c,2008-11-12T15:38:53+00:00,1,0,0,,,11.689547476838861,15.332131400211962,5.0238805208462765
sqlite,version-3.18.0,10076160,256845,285,0.24169812706427846,0.16703982469512196,0.16916940580538617,0.5447435378355573,0.13760049835503904,0.7972239407433802,0.35759212520838124,sqlite,sqlite,low_opacity,,,version-3.18.0,fe329a737060c6e9aea2e41f6e3661425b75aa35,2017-03-28T18:48:43+00:00,2,0,0,,,12.456231962482345,16.125682894889902,5.655991810819852
sqlite,version-3.51.0,13547520,353059,319,0.2400832772345049,0.16861359126984127,0.17089445153061225,0.5343214104375542,0.13843861790805503,0.8388639582509814,0.3616385881614613,sqlite,sqlite,low_opacity,,,version-3.51.0,c2aa8e3875907d84540af7624534e326b26b82ee,2025-11-04T19:38:17+00:00,3,0,0,,,12.774393293143275,16.4217141365227,5.768320995793772
curl,curl-6_5,624640,14510,68,0.20948546362704917,0.16631019467213115,0.17061507428278688,0.6031618711724502,0.12729152308752584,0.45257654788219154,0.3142477495485522,curl,curl,low_opacity,,,curl-6_5,90030a49c7facfefeca8157255f213197343c340,2000-03-14T08:33:15+00:00,0,1,1,212.97690972222222,CVE-2000-0973,9.582662261491093,13.34493236368766,4.23410650459726
curl,curl-7_19_0,3061760,67604,231,0.20589334239130436,0.14960806856187292,0.15203967652591974,0.5707617268561499,0.14580498195373054,0.6815733519161004,0.34059080686244647,curl,curl,low_opacity,,,curl-7_19_0,6ebc2b25611ea1e382bedbf6f6af1ac7a6488bae,2008-09-01T14:38:40+00:00,1,1,1,182.72314814814814,CVE-2009-0037,11.121437223792858,14.934500798593664,5.44673737166631
curl,curl-7_53_0,4925440,107888,357,0.1943349223622661,0.1379442242723493,0.13987075266372143,0.5517630678678666,0.1491361411834495,0.7423345745837256,0.3416591433685272,curl,curl,low_opacity,,,curl-7_53_0,a7135ac3c3d825ec9f4919ee0212434e01e76b4c,2017-02-21T23:23:38+00:00,2,13,1,40.358587962962964,CVE-2017-1000099;CVE-2017-1000100;CVE-2017-1000101;CVE-2017-1000254;CVE-2017-1000257;CVE-2017-7407;CVE-2017-7468;CVE-2017-8816;CVE-2017-8817;CVE-2017-8818;CVE-2017-9502;CVE-2018-1000005;CVE-2018-1000007,11.58885819980283,15.409924371726786,5.8805329864007
curl,curl-8_19_0,6973440,163791,469,0.19511116464757708,0.13649733847283407,0.13829157488986785,0.5405868584564848,0.157371284136491,0.7991898236923436,0.3491896849699614,curl,curl,low_opacity,,,curl-8_19_0,8c908d2d0a6d32abdedda2c52e90bd56ec76c24d,2026-03-11T06:46:12+00:00,3,0,0,,,12.006352609159553,15.75761934814425,6.152732694704104
zlib,v0.71,972800,16687,34,0.31816817434210526,0.20567434210526317,0.20808490953947367,0.5745969476002085,0.07257146281536525,0.40230612497353346,0.3075295543817217,zlib,zlib,low_opacity,,,v0.71,bcf78a20978d76f64b7cd46d1a4d7a79a578c77b,2011-09-10T05:36:31+00:00,0,0,0,,,9.722445177240553,13.787934818154037,3.5553480614894135
zlib,v1.2.7.1,1792000,33861,71,0.25893359375,0.17034821428571428,0.17618917410714285,0.5576766808081741,0.10708484687398483,0.5355626393637916,0.31716305907510844,zlib,zlib,low_opacity,,,v1.2.7.1,0b166094092efa2b92200cbb67f390e86c181ab4,2013-03-25T05:47:59+00:00,1,0,0,,,10.430048720688177,14.39884343055257,4.276666119016055
zlib,v1.2.12,2355200,43017,69,0.28787533967391304,0.1280078125,0.13277725883152175,0.576171969821703,0.08849989539019458,0.534955768662052,0.3104217128862496,zlib,zlib,low_opacity,,,v1.2.12,21767c654d31d2dccdde4330529775c6c5fd5389,2022-03-27T23:05:02+00:00,2,1,1,130.34033564814814,CVE-2022-37434,10.669373911736379,14.672136632108995,4.248495242049359
zlib,v1.3.1.2,2396160,42903,71,0.28538035857371796,0.1283520299145299,0.1343712439903846,0.5768962726999958,0.09523809523809523,0.5397808308652869,0.31294614040348956,zlib,zlib,low_opacity,,,v1.3.1.2,570720b0c24f9686c33f35a1b3165c1f568b96be,2025-12-08T13:30:18+00:00,3,0,0,,,10.666720340662762,14.689378431285515,4.276666119016055
git,v0.99,655360,16866,102,0.20819854736328125,0.164691162109375,0.16709747314453124,0.6181705943891763,0.19589707103047552,0.5137791675355248,0.34358229612391356,git,git,mixed,,,v0.99,a3eb250f996bf5e12376ec88622c4ccaabf20ea8,2005-07-10T23:16:34+00:00,0,0,0,,,9.733114329258015,13.392941507830912,4.634728988229636
git,v1.7.6.1,4945920,135434,419,0.23409497120859213,0.17641045548654244,0.17910419092908902,0.5568540071552592,0.18720557614779154,0.7752877140925193,0.3710958416624667,git,git,mixed,,,v1.7.6.1,ccef6048cd697063967e5e02937911fd8125b364,2011-08-24T19:16:58+00:00,1,0,0,,,11.81624709940969,15.414073754432904,6.040254711277414
git,v2.19.0-rc0,8386560,227011,583,0.236071047008547,0.17440237713675213,0.17690376030219782,0.544474120351764,0.17000057265947466,0.8419236015955853,0.3734345516776888,git,git,mixed,,,v2.19.0-rc0,7e8bfb0412581daf8f3c89909f1d37844e8610dd,2018-08-20T19:53:58+00:00,2,0,0,,,12.332758158502442,15.942141101684962,6.369900982828227
git,v2.51.1,12451840,331932,803,0.2337200767115543,0.16933754368832238,0.17149762605365954,0.5373000869865096,0.1551432221057325,0.8920073669146017,0.37394337772983,git,git,mixed,,,v2.51.1,81f86aacc4eb74cdb9c2c8082d36d2070c666045,2025-10-15T17:29:35+00:00,3,0,0,,,12.712688420303891,16.337379041429024,6.6895992691789665
openssh,V_1_2_PRE3,2723840,61200,251,0.1984371328712406,0.14559739191729323,0.15128091224154136,0.5786777649190163,0.15781045751633987,0.6761862840863753,0.34333679920863747,openssh,openssh,mixed,,,V_1_2_PRE3,bca9c66a906e3de0df1067ca95f6880d8aa4a8f5,1999-10-27T03:42:43+00:00,0,0,0,,,11.021918808236205,14.81755357450389,5.529429087511423
openssh,V_5_2_P1,4894720,118657,447,0.18916056485355648,0.13048427693514644,0.1346158717965481,0.5626157693615629,0.15337485356953234,0.7683734828010685,0.3472507614045467,openssh,openssh,mixed,,,V_5_2_P1,faec50b554730338c0e9f34966c11368920b6a78,2009-02-23T00:12:29+00:00,1,0,0,,,11.684000684791101,15.403667835386711,6.104793232414985
openssh,V_7_6_P1,5877760,144513,518,0.1785651336563589,0.11757131968641114,0.12121148192508711,0.5563772272763992,0.16741054438009037,0.7951944888331903,0.34891670868701763,openssh,openssh,mixed,,,V_7_6_P1,66bf74a92131b7effe49fb0eefe5225151869dc5,2017-10-02T19:34:26+00:00,2,0,0,,,11.881131667654646,15.58668646504589,6.251903883165888
openssh,V_10_2_P1,7393280,182347,528,0.1715502456284626,0.10401932565789473,0.10706073623614959,0.551553271018443,0.16853581358618458,0.8134225753699788,0.34667586000094613,openssh,openssh,mixed,,,V_10_2_P1,d01efaa1c9ed84fd9011201dbc3c7cb0a82bcee3,2025-10-10T02:38:31+00:00,3,0,0,,,12.11367222825784,15.816082172744279,6.270988431858299
