repo,snapshot_tag,snapshot_date,event_id,event_observation_id,event_published,event_date_source,ground_truth_source,ground_truth_aliases,fixed_commit,commit_subject,case_file,control_file,changed_source_files_count,changed_source_files_sample,review_decision,review_notes,source_family
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8617,curl:curl-7_50_0:CVE-2016-8617,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8617;CVE-2016-8617,efd24d57426bd77c9b5860e6b297904703750412,base64: check for integer overflow on large input,lib/base64.c,src/tool_cb_dbg.c,1,lib/base64.c,,,explicit_plus_range
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8618,curl:curl-7_50_0:CVE-2016-8618,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8618;CVE-2016-8618,8732ec40db652c53fa58cd13e2acb8eab6e40874,aprintf: detect wrap-around when growing allocation,lib/mprintf.c,lib/smb.c,1,lib/mprintf.c,,,explicit_plus_range
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8619,curl:curl-7_50_0:CVE-2016-8619,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8619;CVE-2016-8619,3d6460edeee21d7d790ec570d0887bed1f4366dd,krb5: avoid realloc(0),lib/security.c,lib/select.c,1,lib/security.c,,,explicit_plus_range
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8622,curl:curl-7_50_0:CVE-2016-8622,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8622;CVE-2016-8622,53e71e47d6b81650d26ec33a58d0dca24c7ffb2c,unescape: avoid integer overflow,lib/dict.c,src/tool_main.c,2,lib/dict.c;lib/escape.c,,,explicit_plus_range
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-8623,curl:curl-7_50_0:CVE-2016-8623,2016-11-02T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2016-8623;CVE-2016-8623,c5be3d7267c725dbd093ff3a883e07ee8cf2a1d5,cookies: getlist() now holds deep copies of all cookies,lib/cookie.h,projects/wolfssl_options.h,3,lib/cookie.c;lib/cookie.h;lib/http.c,,,explicit_plus_range
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2016-9952,curl:curl-7_50_0:CVE-2016-9952,2016-12-21T08:00:00+00:00,osv_published,osv_range,CURL-CVE-2016-9952;CVE-2016-9952,0354eed41085baa5ba8777019ebf5e9ef32c001d,schannel: fix wildcard cert name validation on Win CE,lib/hostcheck.c,src/tool_cfgable.c,2,lib/hostcheck.c;lib/vtls/schannel.c,,,range_only
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-1000099,curl:curl-7_50_0:CVE-2017-1000099,2017-08-09T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2017-1000099;CVE-2017-1000099,c9332fa5e84f24da300b42b1a931ade929d3e27d,file: output the correct buffer to the user,lib/file.c,lib/asyn-thread.c,1,lib/file.c,,,explicit_plus_range
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-1000101,curl:curl-7_50_0:CVE-2017-1000101,2017-08-09T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2017-1000101;CVE-2017-1000101,453e7a7a03a2cec749abd3878a48e728c515cca7,glob: do not continue parsing after a strtoul() overflow range,src/tool_urlglob.c,src/tool_doswin.c,1,src/tool_urlglob.c,,,explicit_plus_range
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-1000254,curl:curl-7_50_0:CVE-2017-1000254,2017-10-04T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2017-1000254;CVE-2017-1000254,5ff2c5ff25750aba1a8f64fbcad8e5b891512584,FTP: zero terminate the entry path even on bad input,lib/ftp.c,src/tool_getparam.c,1,lib/ftp.c,,,explicit_plus_range
curl,curl-7_50_0,2016-07-21T08:53:38+00:00,CVE-2017-1000257,curl:curl-7_50_0:CVE-2017-1000257,2017-10-12T08:00:00+00:00,osv_published,explicit_id+osv_range,CURL-CVE-2017-1000257;CVE-2017-1000257,13c9a9ded3ae744a1e11cbc14e9146d9fa427040,"imap: if a FETCH response has no size, don't call write callback",lib/imap.c,lib/formdata.c,1,lib/imap.c,,,explicit_plus_range
