repo,event_id,published_epoch,published,fixed_commit,fixed_epoch,aliases,source,event_date_source,severity_score,severity_label,severity_source,snapshot_commit,changed_source_files_count,changed_source_files,snapshot_tag,snapshot_date,snapshot_key
curl,CVE-2022-30115,1652093679,2022-05-09T10:54:39+00:00,fae6fea209a2d4db1582f608bd8cc8000721733a,1652093679,CVE-2022-30115,explicit_id,fixed_commit_epoch,,UNKNOWN,unavailable,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,lib/hsts.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-27778,1652256000,2022-05-11T08:00:00+00:00,8c7ee9083d0d719d0a77ab20d9cc2ae84eeea7f3,1652093781,CURL-CVE-2022-27778;CVE-2022-27778,explicit_id+osv_range,osv_published,8.1,HIGH,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,src/tool_operate.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-27779,1652256000,2022-05-11T08:00:00+00:00,7e92d12b4e6911f424678a133b19de670e183a59,1652107648,CURL-CVE-2022-27779;CVE-2022-27779,explicit_id+osv_range,osv_published,,MEDIUM,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,lib/cookie.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-27780,1652256000,2022-05-11T08:00:00+00:00,914aaab9153764ef8fa4178215b8ad89d3ac263a,1652093434,CURL-CVE-2022-27780;CVE-2022-27780,explicit_id+osv_range,osv_published,,MEDIUM,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,lib/urlapi.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-27781,1652256000,2022-05-11T08:00:00+00:00,5c7da89d404bf59c8dd82a001119a16d18365917,1652083635,CURL-CVE-2022-27781;CVE-2022-27781,explicit_id+osv_range,osv_published,7.5,HIGH,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,lib/vtls/nss.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-27782,1652256000,2022-05-11T08:00:00+00:00,1645e9b44505abd5cbaf65da5282c3f33b5924a5,1652130833,CURL-CVE-2022-27782;CVE-2022-27782,explicit_id+osv_range,osv_published,7.5,HIGH,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,2,lib/url.c;lib/vssh/ssh.h,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-32205,1656316800,2022-06-27T08:00:00+00:00,48d7064a49148f03942380967da739dcde1cdc24,1656234048,CURL-CVE-2022-32205;CVE-2022-32205,explicit_id+osv_range,osv_published,4.3,MEDIUM,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,4,lib/cookie.c;lib/cookie.h;lib/http.c;lib/urldata.h,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-32206,1656316800,2022-06-27T08:00:00+00:00,3a09fbb7f264c67c438d01a30669ce325aa508e2,1656188061,CURL-CVE-2022-32206;CVE-2022-32206,explicit_id+osv_range,osv_published,6.5,MEDIUM,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,lib/content_encoding.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-32207,1656316800,2022-06-27T08:00:00+00:00,20f9dd6bae50b7223171b17ba7798946e74f877f,1656234237,CURL-CVE-2022-32207;CVE-2022-32207,explicit_id+osv_range,osv_published,9.8,CRITICAL,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,lib/cookie.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-32208,1656316800,2022-06-27T08:00:00+00:00,6ecdf5136b52af747e7bda08db9a748256b1cd09,1656187989,CURL-CVE-2022-32208;CVE-2022-32208,explicit_id+osv_range,osv_published,5.9,MEDIUM,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,lib/krb5.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2022-35252,1661932800,2022-08-31T08:00:00+00:00,8dfc93e573ca740544a2d79ebb0ed786592c65c3,1661764837,CURL-CVE-2022-35252;CVE-2022-35252,explicit_id+osv_range,osv_published,3.7,LOW,osv_severity,8e82f2a04a238c54ba91e553e9a8452e6d405965,1,lib/cookie.c,curl-7_79_0,2021-09-14T07:02:52+00:00,curl:curl-7_79_0
curl,CVE-2024-11053,1733904000,2024-12-11T08:00:00+00:00,e9b9bbac22c26cf67316fa8e6c6b9e831af31949,1731839636,CURL-CVE-2024-11053;CVE-2024-11053,osv_range,osv_published,3.4,LOW,osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,2,lib/netrc.c;lib/url.c,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
curl,CVE-2025-0167,1738742400,2025-02-05T08:00:00+00:00,0e120c5b925e8ca75d5319e319e5ce4b8080d8eb,1735924870,CURL-CVE-2025-0167;CVE-2025-0167,osv_range,osv_published,3.4,LOW,osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,1,lib/netrc.c,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
curl,CVE-2025-0665,1738742400,2025-02-05T08:00:00+00:00,ff5091aa9f73802e894b1cbdf24ab84e103200e2,1734015527,CURL-CVE-2025-0665;CVE-2025-0665,osv_range,osv_published,7.0,HIGH,osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,1,lib/asyn-thread.c,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
curl,CVE-2025-0725,1738742400,2025-02-05T08:00:00+00:00,76f83f0db23846e254d940ec7,1737723863,CURL-CVE-2025-0725;CVE-2025-0725,nvd_ref+osv_range+osv_ref,nvd_published+osv_published,7.3,HIGH,nvd_metrics+osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,1,lib/content_encoding.c,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
curl,CVE-2025-4947,1748416524,2025-05-28T07:15:24+00:00,a85f1df4803bbd272905c9e712537b41afeafbd3,1747654202,CURL-CVE-2025-4947;CVE-2025-4947,osv_range,osv_published,6.5,MEDIUM,osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,1,lib/vquic/vquic-tls.c,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
curl,CVE-2025-5025,1748416524,2025-05-28T07:15:24+00:00,e1f65937a96a451292e9231339672797da86ecc5,1747860342,CURL-CVE-2025-5025;CVE-2025-5025,osv_range,osv_published,4.8,MEDIUM,osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,3,lib/vquic/vquic-tls.c;lib/vtls/wolfssl.c;lib/vtls/wolfssl.h,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
curl,CVE-2025-5399,1749024000,2025-06-04T08:00:00+00:00,d1145df24de8f80e6b167fbc4f28b86bcd0c6832,1748703858,CURL-CVE-2025-5399;CVE-2025-5399,osv_range,osv_published,7.5,HIGH,osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,1,lib/ws.c,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
curl,OSV-2025-657,1755648729,2025-08-20T00:12:09+00:00,c294d0abc5b62b8068af391576be87b821d2ff8b,1755583653,OSV-2025-657,osv_range,osv_published,,UNKNOWN,osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,1,lib/vssh/libssh2.c,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
curl,CVE-2025-10148,1757491200,2025-09-10T08:00:00+00:00,84db7a9eae8468c0445b15aa806fa7fa806fa0f2,1757340256,CURL-CVE-2025-10148;CVE-2025-10148,osv_range,osv_published,5.3,MEDIUM,osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,1,lib/ws.c,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
curl,CVE-2025-9086,1757491200,2025-09-10T08:00:00+00:00,c6ae07c6a541e0e96d0040afb62b45dd37711300,1755039628,CURL-CVE-2025-9086;CVE-2025-9086,osv_range,osv_published,7.5,HIGH,osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,1,lib/cookie.c,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
curl,CVE-2025-10966,1762329600,2025-11-05T08:00:00+00:00,b011e3fcfb06d6c0278595ee2ee297036fbe9793,1758747573,CURL-CVE-2025-10966;CVE-2025-10966,osv_range,osv_published,4.3,MEDIUM,osv_severity,b1ef0e1a01c0bb6ee5367bd9c186a603bde3615a,6,lib/curl_setup.h;lib/url.c;lib/version.c;lib/vssh/ssh.h;packages/OS400/ccsidcurl.c;scripts/schemetable.c,curl-8_11_0,2024-11-06T07:05:56+00:00,curl:curl-8_11_0
django-django,CVE-2016-2512,1460131140,2016-04-08T15:59:00+00:00,382ab137312961ad62feb8109d70a5a581fe8350,1456751237,CVE-2016-2512;GHSA-PW27-W7W4-9QC7;PYSEC-2016-15,explicit_id+osv_range+osv_ref,osv_published,7.4,HIGH,osv_severity,3d128dcadd4814bf92d4d83eda87bb68496f36ee,1,django/utils/http.py,1.8.1,2015-05-01T20:26:55+00:00,django-django:1.8.1
django-django,CVE-2016-2513,1460131140,2016-04-08T15:59:00+00:00,f4e6e02f7713a6924d16540be279909ff4091eb6,1456751237,CVE-2016-2513;GHSA-FP6P-5XVW-M74F;PYSEC-2016-16,explicit_id+osv_range+osv_ref,osv_published,3.1,LOW,osv_severity,3d128dcadd4814bf92d4d83eda87bb68496f36ee,1,django/contrib/auth/hashers.py,1.8.1,2015-05-01T20:26:55+00:00,django-django:1.8.1
django-django,CVE-2018-7537,1519757786,2018-02-27T18:56:26+00:00,a91436360b79a6ff995c3e5018bcc666dfaf1539,1519757786,CVE-2018-7537,explicit_id,fixed_commit_epoch,,UNKNOWN,unavailable,aab5deb53eccc2ac1c36106c91864b0aaf48f5a8,1,django/utils/text.py,1.11.1,2017-05-06T12:33:38+00:00,django-django:1.11.1
django-django,CVE-2018-7536,1520627340,2018-03-09T20:29:00+00:00,abf89d729f210c692a50e0ad3f75fb6bec6fae16,1519757659,CVE-2018-7536;GHSA-R28V-MW67-M5P9;PYSEC-2018-5,explicit_id+osv_range+osv_ref,osv_published,5.3,MEDIUM,osv_severity,aab5deb53eccc2ac1c36106c91864b0aaf48f5a8,1,django/utils/html.py,1.11.1,2017-05-06T12:33:38+00:00,django-django:1.11.1
django-django,CVE-2024-11168,1733215811,2024-12-03T08:50:11+00:00,f663277a4c22ef96cbdebfd0ed76155b9d37b4f8,1733215811,CVE-2024-11168,explicit_id,fixed_commit_epoch,,UNKNOWN,unavailable,4d32ebcd57340aa8de2d6d31613f1646dc6391f6,1,django/utils/http.py,4.2.15,2024-08-06T12:56:30+00:00,django-django:4.2.15
openssl,CVE-2022-3602,1667296158,2022-11-01T09:49:18+00:00,c42165b5706e42f67ef8ef4c351a9a4c5d21639a,1667296158,CVE-2022-3602,explicit_id,fixed_commit_epoch,,UNKNOWN,unavailable,1bf649b5998ac98511203f54ce954eccfaf75467,1,crypto/punycode.c,openssl-3.0.2,2022-03-15T14:30:24+00:00,openssl:openssl-3.0.2
