pair_id,repo,snapshot_tag,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,directory_depth,prior_touches_total,prior_touches_365d,total_churn,churn_365d,author_count_total,author_count_365d,file_age_days,latest_touch_days,log_loc,log_size_bytes,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d
15,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2017-8818,curl:curl-7_54_1:CVE-2017-8818,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/urldata.h,.h,1536.0,76614.0,0.30955177904821574,0.6955046748394255,0.020833333333333332,0.21433832139898196,0.31382985872320346,1.0,698.0,44.0,7168.0,318.0,76.0,18.0,6376.658680555555,34.800925925925924,7.337587743538596,11.246548159012276,6.54965074223381,3.8066624897703196,8.877521453852872,5.765191102784844
15,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2017-8818,curl:curl-7_54_1:CVE-2017-8818,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/config-vxworks.h,.h,194.0,26392.0,0.20199302819036072,0.5869851299827527,0.005154639175257732,0.0,0.21667695502063322,1.0,48.0,0.0,2062.0,0.0,8.0,0.0,4085.3459375,497.28465277777775,5.272999558563747,10.180854102460378,3.8918202981106265,0.0,7.631916513071252,0.0
16,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2018-1000007,curl:curl-7_54_1:CVE-2018-1000007,expanded_advisory_plus_explicit,osv_range,1,case,lib/http.c,.c,2992.0,122831.0,0.2602193257402447,0.6808136467121415,0.2282754010695187,0.1310612781659529,0.33158747155938595,1.0,691.0,34.0,17412.0,735.0,50.0,11.0,6376.658680555555,14.853634259259259,8.0040315078527,11.71857284706768,6.539585955617669,3.5553480614894135,9.764972332679383,6.601230118728877
16,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2018-1000007,curl:curl-7_54_1:CVE-2018-1000007,expanded_advisory_plus_explicit,osv_range,0,control,src/tool_operate.c,.c,1605.0,72086.0,0.2578170518547291,0.6759042427202652,0.12149532710280374,0.06688849842662474,0.2946909939822391,1.0,212.0,29.0,4446.0,429.0,31.0,11.0,2079.3367824074076,38.372083333333336,7.381501894506707,11.185629001884354,5.3612921657094255,3.4011973816621555,8.399984990510696,6.063785208687608
17,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2018-1000005,curl:curl-7_54_1:CVE-2018-1000005,expanded_advisory_plus_explicit,osv_range,1,case,lib/http2.c,.c,1799.0,69395.0,0.23376323942647165,0.694603929975852,0.1473040578098944,0.07747870596011737,0.2999029193714242,1.0,227.0,36.0,5440.0,610.0,16.0,7.0,6000.337881944444,8.738634259259259,7.495541943884256,11.147584507946219,5.429345628954441,3.6109179126442243,8.601718146485926,6.415096959171596
17,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2018-1000005,curl:curl-7_54_1:CVE-2018-1000005,expanded_advisory_plus_explicit,osv_range,0,control,src/tool_getparam.c,.c,1832.0,68824.0,0.2307334650703243,0.6681795688403461,0.2554585152838428,0.08978454560055109,0.32054515784807597,1.0,138.0,24.0,3712.0,787.0,35.0,12.0,2079.3367824074076,35.53365740740741,7.513709247839705,11.139322330010808,4.9344739331306915,3.2188758248682006,8.21959545417708,6.669498089857879
18,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2018-1000300,curl:curl-7_54_1:CVE-2018-1000300,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/pingpong.c,.c,405.0,15417.0,0.3169228773431926,0.7370635908795671,0.1382716049382716,0.0,0.3271687538743533,1.0,51.0,6.0,1017.0,46.0,13.0,4.0,2740.3436921296297,43.38434027777778,6.0063531596017325,9.643290937019207,3.9512437185814275,1.9459101490553132,6.925595197110468,3.8501476017100584
18,curl,curl-7_54_1,curl:curl-7_54_1,CVE-2018-1000300,curl:curl-7_54_1:CVE-2018-1000300,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/security.c,.c,481.0,15833.0,0.33480704856944354,0.760264926124435,0.16424116424116425,0.0,0.3453615591184846,1.0,108.0,9.0,3048.0,32.0,10.0,1.0,6109.890763888889,171.3147337962963,6.1779441140506,9.669914805731379,4.6913478822291435,2.302585092994046,8.022568946988255,3.4965075614664802
19,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2019-5481,curl:curl-7_65_2:CVE-2019-5481,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/security.c,.c,481.0,15473.0,0.33238544561494215,0.7587472193597368,0.16424116424116425,0.0,0.3442469558713578,1.0,120.0,8.0,3089.0,31.0,15.0,4.0,6872.9444791666665,8.83798611111111,6.1779441140506,9.6469164751094,4.795790545596741,2.1972245773362196,8.035926369891792,3.4657359027997265
19,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2019-5481,curl:curl-7_65_2:CVE-2019-5481,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/pingpong.c,.c,411.0,15676.0,0.31481245215616227,0.7377903266559318,0.1435523114355231,0.0,0.32794495611212965,1.0,60.0,1.0,1096.0,9.0,14.0,1.0,3503.3974074074076,211.82866898148148,6.021023349349527,9.659949949068531,4.110873864173311,0.6931471805599453,7.00033446027523,2.302585092994046
20,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2019-5482,curl:curl-7_65_2:CVE-2019-5482,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/tftp.c,.c,1131.0,42136.0,0.23051547370419595,0.6275930614357895,0.1361626878868258,0.029462074889162616,0.2730261967951529,1.0,196.0,6.0,4438.0,56.0,28.0,1.0,5065.6771875,58.06143518518518,7.0317412587631285,10.648681493556756,5.2832037287379885,1.9459101490553132,8.398184404834035,4.04305126783455
20,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2019-5482,curl:curl-7_65_2:CVE-2019-5482,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/pop3.c,.c,1140.0,43646.0,0.23411080053154928,0.6398928064009459,0.1649122807017544,0.02854022188622487,0.2845181846352023,1.0,247.0,8.0,7512.0,52.0,20.0,4.0,3503.3974074074076,41.53346064814815,7.039660349862076,10.683889830383498,5.5134287461649825,2.1972245773362196,8.92439013236916,3.970291913552122
21,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2019-15601,curl:curl-7_65_2:CVE-2019-15601,expanded_advisory_plus_explicit,explicit_id,1,case,lib/file.c,.c,435.0,15397.0,0.31467168929012146,0.7505903429525285,0.16551724137931034,0.0,0.33682819936714925,1.0,192.0,6.0,2106.0,66.0,22.0,1.0,7139.712395833333,126.44451388888889,6.077642243349034,9.641992909837995,5.262690188904886,1.9459101490553132,7.653020413804189,4.204692619390966
21,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2019-15601,curl:curl-7_65_2:CVE-2019-15601,expanded_advisory_plus_explicit,explicit_id,0,control,lib/altsvc.c,.c,489.0,15740.0,0.3108005082592122,0.7501658286078006,0.09611451942740286,0.0,0.31771155248952937,1.0,5.0,5.0,587.0,587.0,3.0,3.0,135.8808449074074,62.00649305555555,6.194405391104672,9.664024052354822,1.791759469228055,1.791759469228055,6.376726947898627,6.376726947898627
22,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2020-8169,curl:curl-7_65_2:CVE-2020-8169,expanded_advisory_plus_explicit,osv_range,1,case,lib/url.c,.c,3326.0,130807.0,0.2543365416223902,0.6404172692648118,0.0974143114852676,0.16036263449861926,0.2911280270328783,1.0,1479.0,79.0,42775.0,2454.0,108.0,19.0,7139.712395833333,0.10945601851851852,8.109826276018477,11.781485878214422,7.299797366758161,4.382026634673881,10.663732476628567,7.805882040228621
22,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2020-8169,curl:curl-7_65_2:CVE-2020-8169,expanded_advisory_plus_explicit,osv_range,0,control,lib/ftp.c,.c,3450.0,133200.0,0.2617117117117117,0.6631853937618818,0.16434782608695653,0.1310612781659529,0.3114849391295449,1.0,793.0,12.0,26618.0,169.0,41.0,3.0,7139.712395833333,41.53346064814815,8.146419323098003,11.799614544567753,6.677083461247136,2.5649493574615367,10.189380525503447,5.135798437050262
23,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2020-8177,curl:curl-7_65_2:CVE-2020-8177,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,src/tool_cb_hdr.c,.c,231.0,8137.0,0.3949858670271599,0.7609322695110615,0.16883116883116883,0.0,0.3696966049462556,1.0,40.0,6.0,567.0,33.0,13.0,3.0,2852.6566087962965,209.98767361111112,5.44673737166631,9.004299728561636,3.713572066704308,1.9459101490553132,6.342121418721152,3.5263605246161616
23,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2020-8177,curl:curl-7_65_2:CVE-2020-8177,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,src/tool_cb_prg.c,.c,207.0,7972.0,0.4130707476166583,0.7313665214208163,0.15458937198067632,0.0184875342908283,0.3662465490534555,1.0,34.0,5.0,507.0,41.0,10.0,3.0,2856.313923611111,0.9174652777777778,5.337538079701318,8.983816112502495,3.5553480614894135,1.791759469228055,6.230481447578482,3.7376696182833684
24,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2020-8177,curl:curl-7_65_2:CVE-2020-8177,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,src/tool_getparam.c,.c,1985.0,74466.0,0.2334085354389923,0.6648824742297461,0.25692695214105793,0.1,0.32202376725886633,1.0,182.0,17.0,4210.0,173.0,45.0,8.0,2842.390497685185,52.40979166666666,7.593877844605118,11.218111353214848,5.209486152841421,2.8903717578961645,8.345455428161928,5.159055299214529
