repo,snapshot_tag,snapshot_key,event_observation_id,label,file_path,opacity_stratum,composite_score,loc,log_loc,directory_depth,suffix,advisory_ids,source_families,mapping_bases,baseline_history,baseline_history_plus_structure,baseline_plus_composite,baseline_size,score_mean,score_std,score_range,history_vs_composite_gap,structure_vs_composite_gap
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/core/serializers/json.py,0,django/core/serializers/json.py,Q6,0.3665436922238269,103.0,4.6443908991413725,3.0,.py,,,,0.010161413341300836,0.009819919650405582,0.011360352767078547,0.006428813307200994,0.009442624766496488,0.0018316487546122576,0.004931539459877553,0.0011989394257777113,0.0015404331166729655
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/core/serializers/python.py,0,django/core/serializers/python.py,Q4,0.3332251712725047,158.0,5.0689042022202315,3.0,.py,,,,0.016994341842483225,0.01760980102141063,0.018249839405726057,0.01035467040535142,0.015802163168742833,0.0031762848173933103,0.007895169000374637,0.001255497563242832,0.0006400383843154257
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/core/serializers/pyyaml.py,0,django/core/serializers/pyyaml.py,Q7,0.38605972569785474,67.0,4.219507705176107,3.0,.py,,,,0.00458808178657222,0.004237768136037184,0.0053830526014748675,0.004906427652319917,0.004778832544101047,0.000421455494253405,0.001145284465437683,0.0007949708149026478,0.001145284465437683
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/core/serializers/xml_serializer.py,0,django/core/serializers/xml_serializer.py,Q2,0.30607173309454805,340.0,5.831882477283517,3.0,.py,,,,0.02445149089721462,0.02881062221152206,0.02525137540262863,0.01844965000386103,0.024240784628806585,0.0037244579008334482,0.01036097220766103,0.00079988450541401,0.00355924680889343
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/core/servers/basehttp.py,0,django/core/servers/basehttp.py,Q6,0.36815137123270036,158.0,5.0689042022202315,3.0,.py,,,,0.009294389599027331,0.008640521522614427,0.010984300061912268,0.01010695488157398,0.009756541516282002,0.0008788153380874926,0.0023437785392978402,0.0016899104628849363,0.0023437785392978402
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/core/signals.py,0,django/core/signals.py,Q10,0.5177395206685718,5.0,1.791759469228055,2.0,.py,,,,0.0011782207041990526,0.0007180908450826884,0.0017160706215151543,0.0008206307186591072,0.0011082532223640007,0.00039028541623678677,0.000997979776432466,0.0005378499173161017,0.000997979776432466
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/core/signing.py,0,django/core/signing.py,Q5,0.35358789919157246,162.0,5.093750200806762,2.0,.py,,,,0.010556103100822915,0.010455148323069867,0.01166380011690043,0.011783834958169662,0.011114721624740719,0.0006116149603847728,0.0013286866350997947,0.0011076970160775156,0.0012086517938305636
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/core/urlresolvers.py,0,django/core/urlresolvers.py,Q3,0.3236665395128003,597.0,6.393590753950631,2.0,.py,,,,0.04417332313812235,0.05016337922054757,0.04734045290326042,0.03282026317048954,0.043624354608104966,0.00658782945401389,0.017343116050058026,0.0031671297651380756,0.0028229263172871444
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/core/validators.py,0,django/core/validators.py,Q2,0.3087307394570609,355.0,5.87493073085203,2.0,.py,,,,0.04716339704761767,0.053795608573098584,0.047000309351663015,0.0216972072230484,0.04241413054885692,0.012271079031520457,0.03209840135005018,0.00016308769595465428,0.006795299221435569
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/core/wsgi.py,0,django/core/wsgi.py,Q10,0.4913259246623589,11.0,2.4849066497880004,2.0,.py,,,,0.002084239889925658,0.0014145311766641702,0.002873102711374917,0.0012763313706813618,0.0019120512871615267,0.0006334301120611688,0.0015967713406935553,0.0007888628214492593,0.001458571534710747
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/db/__init__.py,0,django/db/__init__.py,Q7,0.3760067658997533,51.0,3.9512437185814275,2.0,.py,,,,0.011125128102342136,0.009347877609731133,0.012341983970211344,0.004792635024996755,0.009401906176820341,0.0028662628487668746,0.00754934894521459,0.0012168558678692081,0.0029941063604802115
django-django,1.9.6,django-django:1.9.6,django-django:1.9.6:NEG:django/db/backends/base/base.py,0,django/db/backends/base/base.py,Q1,0.30205424915200946,539.0,6.29156913955832,4.0,.py,,,,0.019172994201258346,0.02119630512422052,0.020379319588076452,0.02186548515586878,0.020653526017356025,0.0010038199211772183,0.0026924909546104346,0.0012063253868181065,0.0008169855361440694
