intervention_id,repo,role,period,anchor_commit,anchor_date,file_path,suffix,label,future_event_ids,match_window_days,match_distance,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,directory_depth,prior_touches_total,prior_touches_365d,total_churn,churn_365d,author_count_total,author_count_365d,file_age_days,latest_touch_days,log_loc,log_size_bytes,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d
django-django::c5cd8783825b5f6384417dac5f3889b4210b7d08::django/db/models/sql/query.py,django-django,intervention,pre,c9d6e3595cfd0aa58cde1656bd735ecfcd7a872b,2022-02-03T08:23:02+00:00,django/db/models/sql/query.py,.py,1,CVE-2024-42005,90,2.776551347072897,2267.0,111420.0,0.25923532579429187,0.7254584277877271,0.11954124393471548,0.1768184324776927,0.3225460628058545,4.0,490.0,33.0,12736.0,338.0,102.0,12.0,5030.231087962963,16.640219907407406,7.7266536648476425,11.621071098583894,6.19644412779452,3.5263605246161616,9.45226642258976,5.82600010738045
django-django::c5cd8783825b5f6384417dac5f3889b4210b7d08::django/db/models/sql/query.py,django-django,intervention,post,c5cd8783825b5f6384417dac5f3889b4210b7d08,2022-02-03T10:20:46+00:00,django/db/models/sql/query.py,.py,1,CVE-2024-42005,90,2.776551347072897,2267.0,111391.0,0.25923997450422387,0.7254584277877271,0.11954124393471548,0.1768184324776927,0.3225409016589645,4.0,491.0,34.0,12744.0,346.0,102.0,12.0,5030.312847222222,0.0,7.7266536648476425,11.620810790611165,6.198478716492308,3.5553480614894135,9.452894316810216,5.849324779946859
django-django::c5cd8783825b5f6384417dac5f3889b4210b7d08::django/db/models/sql/query.py,django-django,control,pre,0da90533f2bc66e9cf54e9b9795ecbbdc2618bd6,2022-03-29T05:46:55+00:00,django/db/backends/oracle/operations.py,.py,0,,90,2.776551347072897,635.0,29026.0,0.25318679804313377,0.7390651174759525,0.05826771653543307,0.0,0.28575400365202297,4.0,108.0,7.0,1894.0,420.0,41.0,4.0,2630.4379050925927,48.47353009259259,6.455198563340122,10.275981710307592,4.6913478822291435,2.0794415416798357,7.546974117516527,6.042632833682381
django-django::c5cd8783825b5f6384417dac5f3889b4210b7d08::django/db/models/sql/query.py,django-django,control,post,f62816bfc6a358ea0f04c733a4f56096d9c2405a,2022-03-29T07:43:03+00:00,django/db/backends/oracle/operations.py,.py,0,,90,2.776551347072897,635.0,29026.0,0.25318679804313377,0.7390651174759525,0.05826771653543307,0.0,0.28575400365202297,4.0,109.0,8.0,1900.0,426.0,41.0,4.0,2630.518553240741,0.0,6.455198563340122,10.275981710307592,4.700480365792417,2.1972245773362196,7.550135342488429,6.056784013228625
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/conf/global_settings.py,django-django,intervention,pre,9c19aff7c7561e3a82978a272ecdaad40dda5c00,2022-02-07T19:37:05+00:00,django/conf/global_settings.py,.py,1,CVE-2023-24580,180,1.306901053954455,547.0,22934.0,0.34634167611406647,0.7173428525792216,0.062157221206581355,0.10848083878043617,0.3290397927330374,2.0,342.0,11.0,2344.0,411.0,72.0,11.0,6053.757731481482,0.0,6.306275286948016,10.040419407031273,5.8377304471659395,2.4849066497880004,7.76004068088038,6.021023349349527
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/conf/global_settings.py,django-django,intervention,post,7119f40c9881666b6f9b5cf7df09ee1d21cc8344,2022-02-07T19:37:05+00:00,django/conf/global_settings.py,.py,1,CVE-2023-24580,180,1.306901053954455,548.0,22936.0,0.3463550749912801,0.7172587449591372,0.06204379562043796,0.10848083878043617,0.32896486943771786,2.0,343.0,12.0,2351.0,418.0,72.0,11.0,6053.757731481482,0.0,6.3080984415095305,10.040506606194215,5.840641657373398,2.5649493574615367,7.763021309018518,6.037870919922137
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/conf/global_settings.py,django-django,control,pre,eb7b8f3699fbe5ad6aaafb264355741648fdd5e4,2022-06-28T04:04:42+00:00,django/http/request.py,.py,1,CVE-2023-24580,180,1.306901053954455,607.0,24876.0,0.2895159993568098,0.749846679695187,0.04612850082372323,0.01548181090521048,0.3001328647501798,2.0,102.0,6.0,1682.0,269.0,50.0,6.0,3536.4109143518517,18.786770833333332,6.410174881966167,10.121698960804775,4.634728988229636,1.9459101490553132,7.428333194190806,5.598421958998375
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/conf/global_settings.py,django-django,control,post,d6e0c7c30c1eb83f49345181dc63723968f297ae,2022-06-28T05:33:41+00:00,django/http/request.py,.py,1,CVE-2023-24580,180,1.306901053954455,604.0,24789.0,0.28932187663883174,0.7499558378755927,0.046357615894039736,0.014465824283188234,0.30006357184358307,2.0,103.0,7.0,1692.0,279.0,51.0,7.0,3536.4727083333332,0.0,6.405228458030842,10.118195625029236,4.6443908991413725,2.0794415416798357,7.4342573821331355,5.634789603169249
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/db/models/sql/query.py,django-django,intervention,pre,9c19aff7c7561e3a82978a272ecdaad40dda5c00,2022-02-07T19:37:05+00:00,django/db/models/sql/query.py,.py,1,CVE-2024-42005,90,7.191376945217487,2423.0,113656.0,0.25602695854156404,0.7253759656256763,0.1060668592653735,0.1769837843629441,0.3180743363816033,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.793174347189205,11.640940419992829,0.0,0.0,0.0,0.0
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/db/models/sql/query.py,django-django,intervention,post,7119f40c9881666b6f9b5cf7df09ee1d21cc8344,2022-02-07T19:37:05+00:00,django/db/models/sql/query.py,.py,1,CVE-2024-42005,90,7.191376945217487,2424.0,113679.0,0.2560191416180649,0.7253759656256763,0.10602310231023103,0.1769837843629441,0.318060837425506,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.793586803371584,11.641142762770983,0.0,0.0,0.0,0.0
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/db/models/sql/query.py,django-django,control,pre,7f8f69fb38247827220805f18c2e0f08406d8a3b,2021-11-24T08:28:21+00:00,django/db/backends/oracle/features.py,.py,0,,90,7.191376945217487,114.0,4745.0,0.3643835616438356,0.8402081848804134,0.03508771929824561,0.0,0.3475875868630701,4.0,62.0,12.0,257.0,55.0,22.0,8.0,2505.5500115740742,26.688796296296296,4.74493212836325,8.465057436995709,4.143134726391533,2.5649493574615367,5.552959584921617,4.02535169073515
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/db/models/sql/query.py,django-django,control,post,1555e5850df0a442154e2ce5e54d47bbb013ff66,2021-11-24T09:23:43+00:00,django/db/backends/oracle/features.py,.py,0,,90,7.191376945217487,113.0,4708.0,0.364910790144435,0.8411283223330877,0.035398230088495575,0.0,0.3481637819739883,4.0,63.0,13.0,258.0,56.0,22.0,8.0,2505.588460648148,0.0,4.736198448394496,8.457230850243555,4.1588830833596715,2.6390573296152584,5.556828061699537,4.04305126783455
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/http/multipartparser.py,django-django,intervention,pre,9c19aff7c7561e3a82978a272ecdaad40dda5c00,2022-02-07T19:37:05+00:00,django/http/multipartparser.py,.py,1,CVE-2023-24580,365,4.8724215009503276,631.0,26955.0,0.2812836208495641,0.7787465637980289,0.12836767036450078,0.0,0.3230031303578586,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.448889394146858,10.201961186066107,0.0,0.0,0.0,0.0
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/http/multipartparser.py,django-django,intervention,post,7119f40c9881666b6f9b5cf7df09ee1d21cc8344,2022-02-07T19:37:05+00:00,django/http/multipartparser.py,.py,1,CVE-2023-24580,365,4.8724215009503276,634.0,27034.0,0.28075756454834655,0.7786664175345985,0.1277602523659306,0.0,0.3226320429282654,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.453624998892692,10.204887601816106,0.0,0.0,0.0,0.0
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/http/multipartparser.py,django-django,control,pre,fd21f82aa82b0d75a161f618ef944ebe0923e0ab,2023-01-18T16:27:23+00:00,django/apps/registry.py,.py,0,,365,4.8724215009503276,357.0,17661.0,0.2790328973444312,0.7966786543109982,0.1568627450980392,0.04553272203045609,0.341132816618976,2.0,73.0,3.0,1540.0,49.0,25.0,3.0,3312.2097916666667,316.10922453703705,5.8805329864007,9.779170718028748,4.30406509320417,1.3862943611198906,7.340186835320115,3.912023005428146
django-django::7119f40c9881666b6f9b5cf7df09ee1d21cc8344::django/http/multipartparser.py,django-django,control,post,23e886886249ebe8f80a48b0d25fbb5308eeb06f,2023-01-18T18:11:18+00:00,django/apps/registry.py,.py,0,,365,4.8724215009503276,357.0,17667.0,0.27882492783155033,0.7964699305228463,0.1568627450980392,0.04594316186372964,0.3410700045930561,2.0,74.0,4.0,1542.0,51.0,25.0,3.0,3312.2819560185185,0.0,5.8805329864007,9.779510372716418,4.31748811353631,1.6094379124341003,7.341483852363161,3.9512437185814275
django-django::12576bd371c96fcc92f47a3df806531ff10450c6::django/contrib/auth/views.py,django-django,intervention,pre,420d13edeed8d2848b52f37144fe5edb7baff0cc,2022-04-20T07:59:48+00:00,django/contrib/auth/views.py,.py,0,,365,3.389261279450994,341.0,15030.0,0.22548236859614104,0.763348945301642,0.06451612903225806,0.003342300153745015,0.2857188888338599,3.0,128.0,6.0,2481.0,214.0,54.0,5.0,5832.269351851852,1.1487268518518519,5.834810737062605,9.617870014133226,4.859812404361672,1.9459101490553132,7.8168199657645525,5.3706380281276624
django-django::12576bd371c96fcc92f47a3df806531ff10450c6::django/contrib/auth/views.py,django-django,intervention,post,12576bd371c96fcc92f47a3df806531ff10450c6,2022-04-20T08:04:29+00:00,django/contrib/auth/views.py,.py,0,,365,3.389261279450994,331.0,14522.0,0.22944498003029887,0.7638707964700293,0.06646525679758308,0.0,0.28723098572658035,3.0,129.0,7.0,2527.0,260.0,54.0,5.0,5832.2726041666665,0.0,5.805134968916488,9.583488878607804,4.867534450455582,2.0794415416798357,7.8351837552667485,5.564520407322694
django-django::12576bd371c96fcc92f47a3df806531ff10450c6::django/contrib/auth/views.py,django-django,control,pre,b119f4329c2a4878f1c72f4d25d193d080792f62,2023-01-17T10:49:15+00:00,django/db/models/query.py,.py,0,,365,3.389261279450994,2347.0,101598.0,0.2282328392291187,0.7029086807121296,0.15423945462292288,0.14614794472861553,0.3111644411969069,3.0,556.0,22.0,13206.0,1328.0,143.0,15.0,6104.387025462963,0.0,7.761319180947987,11.528788971558395,6.322565239927284,3.1354942159291497,9.488502271043805,7.192182058713246
django-django::12576bd371c96fcc92f47a3df806531ff10450c6::django/contrib/auth/views.py,django-django,control,post,139135627650ed6aaaf4c755b82c3bd43f2b8f51,2023-01-17T10:49:15+00:00,django/db/models/query.py,.py,0,,365,3.389261279450994,2339.0,101189.0,0.2282066232495627,0.7030457682178842,0.15476699444206926,0.1449148645375436,0.3111603610835789,3.0,557.0,23.0,13220.0,1342.0,143.0,15.0,6104.387025462963,0.0,7.757906208351747,11.524755216723806,6.324358962381311,3.1780538303479458,9.489561753510097,7.202661196523238
django-django::3d734c09ff0138441dfe0a59010435871d17950f::django/db/models/sql/query.py,django-django,intervention,pre,04518e310d4552ff7595a34f5a7f93487d78a406,2022-10-06T07:34:31+00:00,django/db/models/sql/query.py,.py,1,CVE-2024-42005,730,5.674756886873912,2436.0,113821.0,0.25511988121699863,0.7252511818879711,0.1116584564860427,0.19395792143146923,0.32165779900278957,4.0,512.0,30.0,13819.0,1161.0,110.0,15.0,5275.197395833334,0.0,7.798523053625206,11.642391103607023,6.240275845170769,3.4339872044851463,9.53387209732166,7.057897937411856
django-django::3d734c09ff0138441dfe0a59010435871d17950f::django/db/models/sql/query.py,django-django,intervention,post,3d734c09ff0138441dfe0a59010435871d17950f,2022-10-06T09:38:03+00:00,django/db/models/sql/query.py,.py,1,CVE-2024-42005,730,5.674756886873912,2437.0,113963.0,0.2552758351394751,0.7254689117481118,0.11202297907263029,0.19439799143437392,0.3219139735388654,4.0,513.0,31.0,13836.0,1178.0,110.0,15.0,5275.28318287037,0.0,7.798933310041217,11.643637888030954,6.2422232654551655,3.4657359027997265,9.535101442669385,7.072421900537371
django-django::3d734c09ff0138441dfe0a59010435871d17950f::django/db/models/sql/query.py,django-django,control,pre,79099a7ba454581ab521fcb4ea61fc6ed3dccf26,2023-12-01T09:44:58+00:00,django/contrib/gis/geoip2/base.py,.py,0,,730,5.674756886873912,194.0,8717.0,0.30973958930824824,0.8168397222241858,0.0979381443298969,0.0,0.3363939809974362,4.0,21.0,3.0,433.0,41.0,12.0,1.0,3044.833275462963,0.08768518518518519,5.272999558563747,9.073145132798338,3.091042453358316,1.3862943611198906,6.073044534100405,3.7376696182833684
django-django::3d734c09ff0138441dfe0a59010435871d17950f::django/db/models/sql/query.py,django-django,control,post,0f83133a35088f6bbbce11ea8256168782860932,2023-12-01T12:55:45+00:00,django/contrib/gis/geoip2/base.py,.py,0,,730,5.674756886873912,196.0,8773.0,0.30878832782400545,0.8154991110194169,0.10204081632653061,0.0,0.33668959067420867,4.0,22.0,4.0,439.0,47.0,12.0,1.0,3044.965763888889,0.0,5.2832037287379885,9.07954808172616,3.1354942159291497,1.6094379124341003,6.0867747269123065,3.871201010907891
go-gitea-gitea::1f2e173a745da8e4b57f96b5561a3c10054d3b76::modules/context/context.go,go-gitea-gitea,intervention,pre,46e96c008cf966428c9dad71c7871de88186e3fe,2016-07-23T16:23:54+00:00,modules/context/context.go,.go,0,,90,4.901853014961426,147.0,5296.0,0.39520392749244715,0.7918254450176304,0.1292517006802721,0.0,0.369736179677245,2.0,3.0,3.0,350.0,350.0,1.0,1.0,133.97710648148148,131.73238425925925,4.997212273764115,8.574895901544526,1.3862943611198906,1.3862943611198906,5.860786223465865,5.860786223465865
