repo,snapshot_tag,snapshot_commit,advisory_id,fixed_commit,file_path,published_at,severity_label,source_family,mapping_basis,review_decision,reviewer,notes
go-gitea-gitea,v1.15.0-rc1,195c9999a1fce5a0f6e796be9a831761400c3003,CVE-2022-1058,e3d8e92bdc67562783de9a76b5b7842b68daeb48,modules/context/context.go,2022-03-24T14:15:12+00:00,HIGH,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.15.0-rc1,195c9999a1fce5a0f6e796be9a831761400c3003,CVE-2022-1928,65e0688a5c9dacad50e71024b7529fdf0e3c2e9c,modules/typesniffer/typesniffer.go,2022-05-29T00:00:00+00:00,MEDIUM,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.15.0-rc1,195c9999a1fce5a0f6e796be9a831761400c3003,CVE-2022-1928,65e0688a5c9dacad50e71024b7529fdf0e3c2e9c,routers/common/repo.go,2022-05-29T00:00:00+00:00,MEDIUM,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.15.0-rc1,195c9999a1fce5a0f6e796be9a831761400c3003,CVE-2023-3515,9aaaf980f0ba15611f30568bd67bce3ec12954e2,nan,2023-07-05T14:12:33+00:00,LOW,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.15.0-rc1,195c9999a1fce5a0f6e796be9a831761400c3003,GHSA-VW2C-22J4-2FH2,a036507204fabd1d7cff3577692bc7d8e4ef7395,modules/git/git.go,2022-06-17T05:49:38+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.17.0-dev,4563148a61ba892e8f2bb66342f00a950bcd5315,CVE-2022-0905,1314f38b59748397b3429fb9bc9f9d6bac85d2f2,modules/auth/pam/pam.go,2022-03-10T00:00:00+00:00,MEDIUM,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.17.0-dev,4563148a61ba892e8f2bb66342f00a950bcd5315,CVE-2022-1928,65e0688a5c9dacad50e71024b7529fdf0e3c2e9c,modules/typesniffer/typesniffer.go,2022-05-29T00:00:00+00:00,MEDIUM,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.17.0-dev,4563148a61ba892e8f2bb66342f00a950bcd5315,CVE-2022-1928,65e0688a5c9dacad50e71024b7529fdf0e3c2e9c,routers/common/repo.go,2022-05-29T00:00:00+00:00,MEDIUM,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.17.0-dev,4563148a61ba892e8f2bb66342f00a950bcd5315,CVE-2023-3515,9aaaf980f0ba15611f30568bd67bce3ec12954e2,nan,2023-07-05T14:12:33+00:00,LOW,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
go-gitea-gitea,v1.17.0-dev,4563148a61ba892e8f2bb66342f00a950bcd5315,CVE-2023-48795,11f0519ad852809d842e3382595579d8f3ffbc87,modules/git/repo_commitgraph_gogit.go,2023-12-19T01:18:42+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
