pair_id,repo,snapshot_tag,snapshot_key,event_id,event_observation_id,ground_truth_policy,ground_truth_source,label,kind,file_path,suffix,loc,size_bytes,ci_gzip,shannon_entropy,cyclomatic_density,halstead_volume,composite_score,directory_depth,prior_touches_total,prior_touches_365d,total_churn,churn_365d,author_count_total,author_count_365d,file_age_days,latest_touch_days,log_loc,log_size_bytes,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d
15,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2020-8177,curl:curl-7_65_2:CVE-2020-8177,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,src/tool_cb_hdr.c,.c,231.0,8137.0,0.3949858670271599,0.7609322695110615,0.16883116883116883,0.0,0.3696966049462556,1.0,40.0,6.0,567.0,33.0,13.0,3.0,2852.6566087962965,209.98767361111112,5.44673737166631,9.004299728561636,3.713572066704308,1.9459101490553132,6.342121418721152,3.5263605246161616
15,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2020-8177,curl:curl-7_65_2:CVE-2020-8177,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,src/tool_cb_prg.c,.c,207.0,7972.0,0.4130707476166583,0.7313665214208163,0.15458937198067632,0.0184875342908283,0.3662465490534555,1.0,34.0,5.0,507.0,41.0,10.0,3.0,2856.313923611111,0.9174652777777778,5.337538079701318,8.983816112502495,3.5553480614894135,1.791759469228055,6.230481447578482,3.7376696182833684
16,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2020-8177,curl:curl-7_65_2:CVE-2020-8177,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,src/tool_getparam.c,.c,1985.0,74466.0,0.2334085354389923,0.6648824742297461,0.25692695214105793,0.1,0.32202376725886633,1.0,182.0,17.0,4210.0,173.0,45.0,8.0,2842.390497685185,52.40979166666666,7.593877844605118,11.218111353214848,5.209486152841421,2.8903717578961645,8.345455428161928,5.159055299214529
16,curl,curl-7_65_2,curl:curl-7_65_2,CVE-2020-8177,curl:curl-7_65_2:CVE-2020-8177,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/http2.c,.c,1972.0,75664.0,0.24056354408965955,0.6923419283482479,0.15720081135902636,0.08734441125153758,0.3050342028914224,1.0,289.0,31.0,6279.0,448.0,26.0,7.0,6763.391597222222,6.5830671296296295,7.587310506022615,11.234070981121127,5.66988092298052,3.4657359027997265,8.745125259462244,6.1070228877422545
17,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-27775,curl:curl-7_79_0:CVE-2022-27775,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/conncache.c,.c,479.0,16499.0,0.26498575671252805,0.7434715196830454,0.11064718162839249,0.0,0.30405435359118854,1.0,71.0,6.0,1444.0,59.0,13.0,1.0,3202.9127199074073,68.4228125,6.173786103901937,9.711115659888671,4.276666119016055,1.9459101490553132,7.275864600546533,4.0943445622221
17,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-27775,curl:curl-7_79_0:CVE-2022-27775,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,src/tool_paramhlp.c,.c,510.0,16437.0,0.27918719961063454,0.7485045489334005,0.17058823529411765,0.0,0.3255794056247244,1.0,57.0,8.0,1146.0,150.0,15.0,2.0,3632.3742361111113,170.3768287037037,6.236369590203704,9.707351006708445,4.060443010546419,2.1972245773362196,7.044905117129371,5.017279836814924
18,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-22576,curl:curl-7_79_0:CVE-2022-22576,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/strcase.c,.c,229.0,5957.0,0.3167701863354037,0.7753887492817986,0.3406113537117904,0.0,0.3866968530104419,1.0,64.0,1.0,997.0,2.0,9.0,1.0,7929.696134259259,313.33547453703704,5.438079308923196,8.692490133273228,4.174387269895637,0.6931471805599453,6.905753276311464,1.0986122886681098
18,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-22576,curl:curl-7_79_0:CVE-2022-22576,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/dynbuf.c,.c,216.0,5971.0,0.32155417852955953,0.741568564330032,0.1111111111111111,0.0,0.3255575702866242,1.0,9.0,3.0,295.0,44.0,1.0,1.0,497.9320949074074,313.33547453703704,5.37989735354046,8.69483715865908,2.302585092994046,1.3862943611198906,5.69035945432406,3.8066624897703196
19,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-22576,curl:curl-7_79_0:CVE-2022-22576,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/strcase.h,.h,40.0,2024.0,0.42835968379446643,0.7132053118152832,0.025,0.0,0.33908854798017124,1.0,41.0,1.0,245.0,2.0,8.0,1.0,7553.375335648148,313.33547453703704,3.713572066704308,7.613324979540639,3.7376696182833684,0.6931471805599453,5.5053315359323625,1.0986122886681098
19,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-22576,curl:curl-7_79_0:CVE-2022-22576,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/mqtt.h,.h,49.0,1995.0,0.45864661654135336,0.6723646001067741,0.02040816326530612,0.0,0.33734523762664576,1.0,44.0,1.0,457.0,2.0,6.0,1.0,7929.696134259259,313.33547453703704,3.912023005428146,7.59890045687141,3.8066624897703196,0.6931471805599453,6.126869184114185,1.0986122886681098
20,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-22576,curl:curl-7_79_0:CVE-2022-22576,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/url.c,.c,3355.0,132115.0,0.2535972448245846,0.6373866693858627,0.08226527570789866,0.15679560754154664,0.28596572633742035,1.0,1613.0,59.0,44909.0,1037.0,126.0,14.0,7929.696134259259,3.5782175925925928,8.118505067587098,11.791435603539298,7.3864708488298945,4.0943445622221,10.712415766081783,6.945051063725834
20,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-22576,curl:curl-7_79_0:CVE-2022-22576,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/ftp.c,.c,3467.0,134706.0,0.2559648419521031,0.6614788942323443,0.16902220940294202,0.13196721209469953,0.31034613682714957,1.0,866.0,40.0,29697.0,1846.0,45.0,6.0,7929.696134259259,0.6745486111111111,8.151333337900432,11.810857328383019,6.7650389767805414,3.713572066704308,10.298834982456007,7.52131798019924
21,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-22576,curl:curl-7_79_0:CVE-2022-22576,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/urldata.h,.h,1641.0,80657.0,0.30842952254609024,0.6856949507134457,0.016453382084095063,0.22620948453701786,0.3114941618469752,1.0,920.0,55.0,9718.0,488.0,114.0,11.0,7929.696134259259,13.957511574074074,7.403670290012373,11.297973272682308,6.825460036255307,4.02535169073515,9.181838011503471,6.192362489474872
21,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-22576,curl:curl-7_79_0:CVE-2022-22576,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/curl_setup.h,.h,644.0,23178.0,0.3115454310121667,0.6888701590144582,0.2127329192546584,0.0539158811108031,0.3395341148598524,1.0,330.0,19.0,3167.0,187.0,54.0,13.0,7929.696134259259,23.721238425925925,6.4692503167957724,10.051001975324677,5.802118375377063,2.995732273553991,8.060855752934316,5.236441962829949
22,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-22576,curl:curl-7_79_0:CVE-2022-22576,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/vtls/vtls.c,.c,1162.0,40019.0,0.2575526624853195,0.7166963612017604,0.11962134251290878,0.0,0.29599272544473043,2.0,223.0,21.0,4305.0,335.0,48.0,6.0,6003.649756944445,55.9769212962963,7.0587581525186645,10.597134608137724,5.4116460518550396,3.091042453358316,8.367764677924308,5.817111159963204
22,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-22576,curl:curl-7_79_0:CVE-2022-22576,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/vtls/gskit.c,.c,1103.0,40789.0,0.22856652528868077,0.7156365116045946,0.2157751586582049,0.06794800995054455,0.3203004248188216,2.0,74.0,15.0,2887.0,291.0,21.0,8.0,2982.5849074074076,5.048032407407407,7.00669522683704,10.616192232311604,4.31748811353631,2.772588722239781,7.968319500012717,5.676753802268282
23,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-27782,curl:curl-7_79_0:CVE-2022-27782,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/vssh/ssh.h,.h,225.0,8840.0,0.3393665158371041,0.6978246322521412,0.04888888888888889,0.0,0.30434806354317606,2.0,68.0,6.0,726.0,42.0,15.0,2.0,7929.696134259259,75.40229166666667,5.420534999272286,9.087155271405804,4.23410650459726,1.9459101490553132,6.588926477533519,3.7612001156935624
23,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-27782,curl:curl-7_79_0:CVE-2022-27782,expanded_advisory_plus_explicit,explicit_id+osv_range,0,control,lib/vauth/vauth.h,.h,160.0,10122.0,0.18000395178818415,0.7270973060121291,0.0875,0.0,0.26668528777550804,2.0,52.0,6.0,591.0,98.0,9.0,3.0,7553.375335648148,29.018587962962965,5.081404364984463,9.222565341598752,3.970291913552122,1.9459101490553132,6.3835066348840055,4.59511985013459
24,curl,curl-7_79_0,curl:curl-7_79_0,CVE-2022-27781,curl:curl-7_79_0:CVE-2022-27781,expanded_advisory_plus_explicit,explicit_id+osv_range,1,case,lib/vtls/nss.c,.c,1937.0,75848.0,0.25665805294800126,0.6929015214109602,0.1734641197728446,0.1674192268145683,0.32673707918611805,2.0,308.0,22.0,7961.0,472.0,39.0,10.0,5327.354340277778,55.9769212962963,7.569411792450712,11.236499800774148,5.733341276897746,3.1354942159291497,8.982435503560263,6.159095388491933
